17-DMAG	2-Methoxyestradiol	Abiraterone	Afatinib	Aflibercept	Aldesleukin	Aminophylline	Anakinra	Anastrozole	Arsenic trioxide	Axitinib	Azacitidine	Bevacizumab	Bortezomib	Bosutinib	Brentuximab vedotin	Cabazitaxel	Canfosfamide	Capecitabine	Carmustine	Carvedilol	Cediranib	Celecoxib	Cetuximab	Chenodeoxycholic acid	Clofarabine	Cytarabine	Dacarbazine	Dasatinib	Daunorubicin	Decitabine	Dexamethasone	Diphenhydramine	Docetaxel	Doxorubicin	Emodin	Enalapril	Epirubicin	Erlotinib	Etodolac	Etoposide	Everolimus	Exemestane	Fenretinide	Fludarabine	Fluorouracil	Fulvestrant	Gefitinib	Gemcitabine	Gemtuzumab ozogamicin	Genistein	Ibritumomab tiuxetan	Idarubicin	Imatinib	Interferon alfa-2a	Ipilimumab	Irinotecan	Ixabepilone	Ketoconazole	Lansoprazole	Lapatinib	Lenalidomide	Letrozole	Leucovorin	LG100268	Metformin	Midazolam	Mitoxantrone	Naloxone	Octreotide	Olaparib	Oxycodone	Paclitaxel	Pazopanib	Peginterferon alfa-2b	Pemetrexed	Pertuzumab	Plitidepsin	Prednisone	Pregabalin	Propranolol	Rifampin	Rituximab	Romidepsin	Romiplostim	Simvastatin	Sirolimus	Sorafenib	Sunitinib	Tamoxifen	Temsirolimus	Thalidomide	Theophylline	Tipifarnib	Topotecan	Toremifene	Trastuzumab	Tretinoin	Trifluridine	Valproic Acid	Vandetanib	Vinorelbine	Vitamin D2	Vorinostat	Zoledronate	Zoledronic acid
Carvedilol	0	0	0.180811808118081	0.136986301369863	0	0	0.139072847682119	0	0.245562130177515	0	0	0.23469387755102	0	0.214285714285714	0.209150326797386	0	0.241157556270096	0.0465116279069767	0.249146757679181	0.18005540166205	1	0	0.280777537796976	0	0.349295774647887	0.220630372492837	0	0	0.237327188940092	0.227665706051873	0.229551451187335	0.160839160839161	0.137546468401487	0.235294117647059	0.264559068219634	0	0.305232558139535	0.264559068219634	0.189910979228487	0.26099706744868	0.236923076923077	0.237918215613383	0.236065573770492	0	0.212307692307692	0.170868347338936	0.189473684210526	0.171875	0.230337078651685	0	0	0	0.133986928104575	0.295503211991435	0	0	0.260355029585799	0.206686930091185	0.175	0.264044943820225	0.158273381294964	0.243377483443709	0.256716417910448	0.153558052434457	0	0.216300940438871	0.15	0.260355029585799	0.0928571428571429	0.25635103926097	0	0.28538283062645	0.282003710575139	0.19106699751861	0	0.207119741100324	0	0	0.187353629976581	0.210233592880979	0.195364238410596	0	0	0	0	0.213622291021672	0.285714285714286	0.198391420911528	0.202505219206681	0.232984293193717	0.234159779614325	0.316430020283976	0.135593220338983	0	0.232876712328767	0.136212624584718	0	0.222996515679443	0.0153846153846154	0.260964912280702	0.192405063291139	0.211143695014663	0.0371747211895911	0.136690647482014	0.26246719160105	0.26246719160105
Cediranib	NA	NA	0	0	NA	NA	0	NA	0	NA	NA	0	NA	0	0	NA	0	0	0	0	0	NA	0	NA	0	0	NA	NA	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	NA	0	0	0	0	0	NA	NA	NA	0	0	NA	NA	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	NA	0	0	0	NA	0	NA	NA	0	0	0	NA	NA	NA	NA	0	0	0	0	0	0	0	0	NA	0	0	NA	0	0	0	0	0	0	0	0	0
Celecoxib	0	0	0.155988857938719	0.13563829787234	0	0	0.100250626566416	0	0.246376811594203	0	0	0.221518987341772	0	0.239690721649485	0.171284634760705	0	0.249350649350649	0.0310734463276836	0.2921875	0.165548098434004	0.280777537796976	0	1	0	0.31651376146789	0.225882352941176	0	0	0.271629778672032	0.223004694835681	0.214285714285714	0.165029469548134	0.104683195592287	0.271825396825397	0.309341500765697	0	0.274004683840749	0.309341500765697	0.212713936430318	0.293103448275862	0.21219512195122	0.278991596638655	0.229166666666667	0	0.184019370460048	0.176605504587156	0.151193633952255	0.180904522613065	0.236658932714617	0	0	0	0.116161616161616	0.33587786259542	0	0	0.194954128440367	0.223880597014925	0.174563591022444	0.346153846153846	0.148760330578512	0.279878971255673	0.243373493975904	0.107142857142857	0	0.172330097087379	0.115303983228512	0.211627906976744	0.0750670241286863	0.309426229508197	0	0.224528301886792	0.29064039408867	0.25	0	0.193877551020408	0	0	0.180392156862745	0.245263157894737	0.114914425427873	0	0	0	0	0.184914841849148	0.297872340425532	0.243119266055046	0.261278195488722	0.209401709401709	0.265734265734266	0.291666666666667	0.0969387755102041	0	0.191099476439791	0.138020833333333	0	0.241433021806854	0.00842696629213483	0.285988483685221	0.235807860262009	0.203791469194313	0.0274725274725275	0.116847826086957	0.233404710920771	0.233404710920771
Cetuximab	NA	NA	0	0	NA	NA	0	NA	0	NA	NA	0	NA	0	0	NA	0	0	0	0	0	NA	0	NA	0	0	NA	NA	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	NA	0	0	0	0	0	NA	NA	NA	0	0	NA	NA	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	NA	0	0	0	NA	0	NA	NA	0	0	0	NA	NA	NA	NA	0	0	0	0	0	0	0	0	NA	0	0	NA	0	0	0	0	0	0	0	0	0
Chenodeoxycholic acid	0	0	0.17578125	0.185606060606061	0	0	0.120689655172414	0	0.284345047923323	0	0	0.291666666666667	0	0.216642754662841	0.262589928057554	0	0.310714285714286	0.04149377593361	0.259717314487633	0.200589970501475	0.349295774647887	0	0.31651376146789	0	1	0.26791277258567	0	0	0.321428571428571	0.271875	0.277142857142857	0.159806295399516	0.152610441767068	0.282238442822384	0.293193717277487	0	0.275964391691395	0.293193717277487	0.269102990033223	0.321543408360129	0.243506493506494	0.25631067961165	0.274021352313167	0	0.225490196078431	0.198198198198198	0.245136186770428	0.231833910034602	0.285276073619632	0	0	0	0.150877192982456	0.344036697247706	0	0	0.260061919504644	0.247524752475248	0.206081081081081	0.299009900990099	0.188235294117647	0.268630849220104	0.280254777070064	0.151394422310757	0	0.242424242424242	0.123655913978495	0.260061919504644	0.0996168582375479	0.305970149253731	0	0.286057692307692	0.299806576402321	0.252717391304348	0	0.233449477351916	0	0	0.175903614457831	0.207909604519774	0.1438127090301	0	0	0	0	0.218954248366013	0.335731414868106	0.244186046511628	0.235033259423503	0.262569832402235	0.292168674698795	0.301652892561983	0.112676056338028	0	0.262962962962963	0.191881918819188	0	0.255514705882353	0.012396694214876	0.320665083135392	0.25207756232687	0.23125	0.04	0.137931034482759	0.297752808988764	0.297752808988764
Clofarabine	0	0	0.164319248826291	0.19815668202765	0	0	0.128630705394191	0	0.183050847457627	0	0	0.307936507936508	0	0.197289156626506	0.295652173913043	0	0.336170212765957	0.0476190476190476	0.213235294117647	0.212328767123288	0.220630372492837	0	0.225882352941176	0	0.26791277258567	1	0	0	0.273972602739726	0.216494845360825	0.322147651006711	0.132978723404255	0.109004739336493	0.295081967213115	0.237410071942446	0	0.200636942675159	0.237410071942446	0.27027027027027	0.217687074829932	0.274131274131274	0.2375	0.22	0	0.233716475095785	0.193103448275862	0.213636363636364	0.221774193548387	0.288732394366197	0	0	0	0.195652173913043	0.3	0	0	0.224913494809689	0.28968253968254	0.182879377431907	0.208416833667335	0.262626262626263	0.239051094890511	0.259927797833935	0.16256157635468	0	0.215384615384615	0.126543209876543	0.25531914893617	0.125	0.201017811704835	0	0.184275184275184	0.260692464358452	0.255384615384615	0	0.24896265560166	0	0	0.163101604278075	0.127635960044395	0.151394422310757	0	0	0	0	0.163636363636364	0.247524752475248	0.258389261744966	0.279187817258883	0.1875	0.323943661971831	0.225053078556263	0.128755364806867	0	0.297297297297297	0.153846153846154	0	0.202290076335878	0.0158730158730159	0.223844282238443	0.239130434782609	0.267657992565056	0.0402010050251256	0.134883720930233	0.243161094224924	0.243161094224924
Cytarabine	NA	NA	0	0	NA	NA	0	NA	0	NA	NA	0	NA	0	0	NA	0	0	0	0	0	NA	0	NA	0	0	NA	NA	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	NA	0	0	0	0	0	NA	NA	NA	0	0	NA	NA	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	NA	0	0	0	NA	0	NA	NA	0	0	0	NA	NA	NA	NA	0	0	0	0	0	0	0	0	NA	0	0	NA	0	0	0	0	0	0	0	0	0
Dacarbazine	NA	NA	0	0	NA	NA	0	NA	0	NA	NA	0	NA	0	0	NA	0	0	0	0	0	NA	0	NA	0	0	NA	NA	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	NA	0	0	0	0	0	NA	NA	NA	0	0	NA	NA	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	NA	0	0	0	NA	0	NA	NA	0	0	0	NA	NA	NA	NA	0	0	0	0	0	0	0	0	NA	0	0	NA	0	0	0	0	0	0	0	0	0
Dasatinib	0	0	0.146964856230032	0.166666666666667	0	0	0.106936416184971	0	0.182519280205656	0	0	0.278728606356968	0	0.253112033195021	0.235649546827795	0	0.264880952380952	0.026578073089701	0.278606965174129	0.198453608247423	0.237327188940092	0	0.271629778672032	0	0.321428571428571	0.273972602739726	0	0	1	0.24331550802139	0.278481012658228	0.177631578947368	0.109324758842444	0.282894736842105	0.282504012841092	0	0.235443037974684	0.282504012841092	0.264367816091954	0.240740740740741	0.24929178470255	0.267985611510791	0.209302325581395	0	0.212885154061625	0.180878552971576	0.159509202453988	0.206997084548105	0.232558139534884	0	0	0	0.166163141993958	0.379014989293362	0	0	0.223684210526316	0.260115606936416	0.182336182336182	0.248251748251748	0.175895765472313	0.290849673202614	0.253405994550409	0.133986928104575	0	0.192737430167598	0.122641509433962	0.23342175066313	0.078125	0.20703933747412	0	0.207739307535642	0.287477954144621	0.287841191066998	0	0.237237237237237	0	0	0.194748358862144	0.191331923890063	0.126760563380282	0	0	0	0	0.184065934065934	0.257668711656442	0.255813953488372	0.292016806722689	0.208530805687204	0.281578947368421	0.285981308411215	0.103244837758112	0	0.227692307692308	0.175925925925926	0	0.262350936967632	0.0202020202020202	0.220675944333996	0.259259259259259	0.234972677595628	0.0324675324675325	0.141479099678457	0.274509803921569	0.274509803921569
Daunorubicin	0	0	0.127272727272727	0.11587982832618	0	0	0.162393162393162	0	0.22887323943662	0	0	0.237237237237237	0	0.174298375184638	0.206477732793522	0	0.246031746031746	0.0588235294117647	0.233644859813084	0.229166666666667	0.227665706051873	0	0.223004694835681	0	0.271875	0.216494845360825	0	0	0.24331550802139	1	0.235109717868339	0.19327731092437	0.158415841584158	0.257294429708223	0.257769652650823	0	0.273648648648649	0.257769652650823	0.232209737827715	0.292418772563177	0.30952380952381	0.190380761523046	0.244897959183673	0	0.267716535433071	0.240143369175627	0.150862068965517	0.160919540229885	0.22	0	0	0	0.27906976744186	0.242424242424242	0	0	0.233449477351916	0.217228464419476	0.173745173745174	0.228105906313646	0.19047619047619	0.201769911504425	0.203448275862069	0.22279792746114	0	0.196969696969697	0.144200626959248	0.277978339350181	0.109004739336493	0.235602094240838	0	0.232736572890026	0.26844262295082	0.165714285714286	0	0.213709677419355	0	0	0.195054945054945	0.153234960272418	0.151394422310757	0	0	0	0	0.189591078066914	0.217391304347826	0.194267515923567	0.180327868852459	0.176991150442478	0.205128205128205	0.225053078556263	0.168888888888889	0	0.220338983050847	0.173913043478261	0	0.204588910133843	0.0158730158730159	0.226829268292683	0.166666666666667	0.24	0.0615384615384615	0.150943396226415	0.243161094224924	0.243161094224924
Decitabine	0	0	0.190082644628099	0.2	0	0	0.118279569892473	0	0.196923076923077	0	0	0.458064516129032	0	0.218978102189781	0.247232472324723	0	0.325842696629214	0.043859649122807	0.24113475177305	0.197568389057751	0.229551451187335	0	0.214285714285714	0	0.277142857142857	0.322147651006711	0	0	0.278481012658228	0.235109717868339	1	0.136585365853659	0.100401606425703	0.256723716381418	0.22972972972973	0	0.215743440233236	0.22972972972973	0.238255033557047	0.202416918429003	0.254237288135593	0.288617886178862	0.227758007117438	0	0.222972972972973	0.202492211838006	0.208661417322835	0.203508771929825	0.256965944272446	0	0	0	0.162361623616236	0.305239179954442	0	0	0.219814241486068	0.276223776223776	0.178082191780822	0.229445506692161	0.228813559322034	0.283928571428571	0.2508038585209	0.164556962025316	0	0.240418118466899	0.128133704735376	0.258785942492013	0.0873015873015873	0.210401891252955	0	0.211136890951276	0.294695481335953	0.227397260273973	0	0.209219858156028	0	0	0.16421568627451	0.146579804560261	0.142361111111111	0	0	0	0	0.172638436482085	0.242009132420091	0.24251497005988	0.289099526066351	0.18010752688172	0.283950617283951	0.229083665338645	0.118081180811808	0	0.286274509803922	0.143911439114391	0	0.207207207207207	0.0175438596491228	0.214765100671141	0.2296918767507	0.245098039215686	0.0378151260504202	0.154471544715447	0.286532951289398	0.286532951289398
Dexamethasone	0	0	0.0958904109589041	0.0885245901639344	0	0	0.109677419354839	0	0.175977653631285	0	0	0.138823529411765	0	0.149867374005305	0.0914454277286136	0	0.135294117647059	0.0424710424710425	0.154574132492114	0.157608695652174	0.160839160839161	0	0.165029469548134	0	0.159806295399516	0.132978723404255	0	0	0.177631578947368	0.19327731092437	0.136585365853659	1	0.0967741935483871	0.151898734177215	0.172839506172839	0	0.142493638676845	0.172839506172839	0.158959537572254	0.174863387978142	0.148571428571429	0.142367066895369	0.1671826625387	0	0.135446685878963	0.174157303370787	0.111475409836066	0.126126126126126	0.140625	0	0	0	0.108626198083067	0.195652173913043	0	0	0.160762942779292	0.140804597701149	0.13595166163142	0.151877133105802	0.0915254237288136	0.150076569678407	0.169444444444444	0.128205128205128	0	0.134502923976608	0.132124352331606	0.160762942779292	0.0699300699300699	0.180043383947939	0	0.156576200417537	0.165261382799325	0.116279069767442	0	0.13030303030303	0	0	0.522522522522523	0.136886102403344	0.12111801242236	0	0	0	0	0.126436781609195	0.163636363636364	0.128787878787879	0.12720156555773	0.148780487804878	0.134177215189873	0.169369369369369	0.105610561056106	0	0.142857142857143	0.121311475409836	0	0.197952218430034	0.0272373540856031	0.163967611336032	0.132211538461538	0.153631284916201	0.0333333333333333	0.101045296167247	0.159036144578313	0.159036144578313
Diphenhydramine	0	0	0.094017094017094	0.102362204724409	0	0	0.178294573643411	0	0.122549019607843	0	0	0.106060606060606	0	0.062992125984252	0.105590062111801	0	0.14792899408284	0.0684931506849315	0.0843373493975904	0.119617224880383	0.137546468401487	0	0.104683195592287	0	0.152610441767068	0.109004739336493	0	0	0.109324758842444	0.158415841584158	0.100401606425703	0.0967741935483871	1	0.0925925925925926	0.0798479087452472	0	0.200934579439252	0.0798479087452472	0.0942408376963351	0.202020202020202	0.153846153846154	0.0797266514806378	0.134969325153374	0	0.128491620111732	0.135678391959799	0.13953488372093	0.0828402366863905	0.0982142857142857	0	0	0	0.0839160839160839	0.101333333333333	0	0	0.114285714285714	0.102150537634409	0.164556962025316	0.100227790432802	0.130434782608696	0.0896686159844055	0.145	0.208333333333333	0	0.173652694610778	0.150234741784038	0.130434782608696	0.14	0.128205128205128	0	0.127725856697819	0.0967032967032967	0.0786516853932584	0	0.110429447852761	0	0	0.0975609756097561	0.0541176470588235	0.149659863945578	0	0	0	0	0.15606936416185	0.0909090909090909	0.0759493670886076	0.0578512396694215	0.0730769230769231	0.080168776371308	0.103864734299517	0.181818181818182	0	0.135135135135135	0.153846153846154	0	0.0991379310344828	0.0285714285714286	0.126470588235294	0.0856031128404669	0.110552763819095	0.0609756097560976	0.117117117117117	0.133333333333333	0.133333333333333
Docetaxel	0	0	0.15	0.158536585365854	0	0	0.101123595505618	0	0.218181818181818	0	0	0.269689737470167	0	0.244897959183673	0.215116279069767	0	0.284023668639053	0.0392156862745098	0.354166666666667	0.218508997429306	0.235294117647059	0	0.271825396825397	0	0.282238442822384	0.295081967213115	0	0	0.282894736842105	0.257294429708223	0.256723716381418	0.151898734177215	0.0925925925925926	1	0.322422258592471	0	0.248743718592965	0.322422258592471	0.275568181818182	0.219387755102041	0.304347826086957	0.268206039076377	0.22478386167147	0	0.214285714285714	0.219895287958115	0.169184290030211	0.198300283286119	0.309973045822102	0	0	0	0.204268292682927	0.34639175257732	0	0	0.26063829787234	0.320474777448071	0.177777777777778	0.240137221269297	0.213114754098361	0.272292993630573	0.254010695187166	0.137380191693291	0	0.214484679665738	0.122685185185185	0.231168831168831	0.0858895705521472	0.223140495867769	0	0.226069246435845	0.396975425330813	0.263157894736842	0	0.260479041916168	0	0	0.161087866108787	0.184567257559958	0.148876404494382	0	0	0	0	0.16710875331565	0.243027888446215	0.275773195876289	0.283950617283951	0.241626794258373	0.252525252525253	0.293135435992579	0.0911680911680912	0	0.283018867924528	0.174698795180723	0	0.235584843492586	0.00970873786407767	0.22156862745098	0.204176334106729	0.287709497206704	0.0283018867924528	0.126934984520124	0.271634615384615	0.271634615384615
Doxorubicin	0	0	0.100189035916824	0.114446529080675	0	0	0.0958408679927667	0	0.204585537918871	0	0	0.237147595356551	0	0.315850815850816	0.159633027522936	0	0.224952741020794	0.0330097087378641	0.35792349726776	0.186206896551724	0.264559068219634	0	0.309341500765697	0	0.293193717277487	0.237410071942446	0	0	0.282504012841092	0.257769652650823	0.22972972972973	0.172839506172839	0.0798479087452472	0.322422258592471	1	0	0.223752151462995	1	0.183928571428571	0.240143369175627	0.216117216117216	0.271232876712329	0.172477064220183	0	0.169340463458111	0.178509532062392	0.149139579349904	0.166666666666667	0.225919439579685	0	0	0	0.155597722960152	0.342105263157895	0	0	0.226381461675579	0.204753199268739	0.155797101449275	0.354046242774566	0.131782945736434	0.312176165803109	0.208849557522124	0.104651162790698	0	0.158645276292335	0.12741935483871	0.217699115044248	0.0656660412757974	0.249612403100775	0	0.261205564142195	0.371223021582734	0.216393442622951	0	0.165137614678899	0	0	0.181259600614439	0.341948310139165	0.110516934046346	0	0	0	0	0.135416666666667	0.33652312599681	0.197635135135135	0.281345565749235	0.199672667757774	0.261101243339254	0.384498480243161	0.0914076782449726	0	0.175803402646503	0.126865671641791	0	0.292225201072386	0.0115384615384615	0.301710730948678	0.195758564437194	0.211849192100539	0.0207547169811321	0.0946969696969697	0.224052718286656	0.224052718286656
Emodin	NA	NA	0	0	NA	NA	0	NA	0	NA	NA	0	NA	0	0	NA	0	0	0	0	0	NA	0	NA	0	0	NA	NA	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	NA	0	0	0	0	0	NA	NA	NA	0	0	NA	NA	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	NA	0	0	0	NA	0	NA	NA	0	0	0	NA	NA	NA	NA	0	0	0	0	0	0	0	0	NA	0	0	NA	0	0	0	0	0	0	0	0	0
Enalapril	0	0	0.133891213389121	0.132	0	0	0.15234375	0	0.231788079470199	0	0	0.208333333333333	0	0.190684133915575	0.171532846715328	0	0.238970588235294	0.0424528301886792	0.257826887661142	0.185534591194969	0.305232558139535	0	0.274004683840749	0	0.275964391691395	0.200636942675159	0	0	0.235443037974684	0.273648648648649	0.215743440233236	0.142493638676845	0.200934579439252	0.248743718592965	0.223752151462995	0	1	0.223752151462995	0.217993079584775	0.360714285714286	0.208904109589041	0.226640159045726	0.237735849056604	0	0.245487364620939	0.205882352941176	0.178861788617886	0.160142348754448	0.208074534161491	0	0	0	0.116104868913858	0.293023255813953	0	0	0.228013029315961	0.2	0.211111111111111	0.267206477732794	0.161702127659574	0.24468085106383	0.227722772277228	0.161434977578475	0	0.202127659574468	0.14792899408284	0.244224422442244	0.103004291845494	0.272493573264781	0	0.253101736972705	0.268774703557312	0.19060773480663	0	0.218045112781955	0	0	0.156565656565657	0.158305462653289	0.190839694656489	0	0	0	0	0.275092936802974	0.225581395348837	0.228395061728395	0.205949656750572	0.216138328530259	0.183976261127596	0.273885350318471	0.153225806451613	0	0.187022900763359	0.14453125	0	0.229755178907721	0.0238095238095238	0.240566037735849	0.202279202279202	0.221476510067114	0.036036036036036	0.160869565217391	0.274336283185841	0.274336283185841
Epirubicin	0	0	0.100189035916824	0.114446529080675	0	0	0.0958408679927667	0	0.204585537918871	0	0	0.237147595356551	0	0.315850815850816	0.159633027522936	0	0.224952741020794	0.0330097087378641	0.35792349726776	0.186206896551724	0.264559068219634	0	0.309341500765697	0	0.293193717277487	0.237410071942446	0	0	0.282504012841092	0.257769652650823	0.22972972972973	0.172839506172839	0.0798479087452472	0.322422258592471	1	0	0.223752151462995	1	0.183928571428571	0.240143369175627	0.216117216117216	0.271232876712329	0.172477064220183	0	0.169340463458111	0.178509532062392	0.149139579349904	0.166666666666667	0.225919439579685	0	0	0	0.155597722960152	0.342105263157895	0	0	0.226381461675579	0.204753199268739	0.155797101449275	0.354046242774566	0.131782945736434	0.312176165803109	0.208849557522124	0.104651162790698	0	0.158645276292335	0.12741935483871	0.217699115044248	0.0656660412757974	0.249612403100775	0	0.261205564142195	0.371223021582734	0.216393442622951	0	0.165137614678899	0	0	0.181259600614439	0.341948310139165	0.110516934046346	0	0	0	0	0.135416666666667	0.33652312599681	0.197635135135135	0.281345565749235	0.199672667757774	0.261101243339254	0.384498480243161	0.0914076782449726	0	0.175803402646503	0.126865671641791	0	0.292225201072386	0.0115384615384615	0.301710730948678	0.195758564437194	0.211849192100539	0.0207547169811321	0.0946969696969697	0.224052718286656	0.224052718286656
Erlotinib	0	0	0.17989417989418	0.305555555555556	0	0	0.117647058823529	0	0.195571955719557	0	0	0.240384615384615	0	0.173780487804878	0.224215246636771	0	0.284444444444444	0.0613496932515337	0.211832061068702	0.205128205128205	0.189910979228487	0	0.212713936430318	0	0.269102990033223	0.27027027027027	0	0	0.264367816091954	0.232209737827715	0.238255033557047	0.158959537572254	0.0942408376963351	0.275568181818182	0.183928571428571	0	0.217993079584775	0.183928571428571	1	0.247191011235955	0.255144032921811	0.208067940552017	0.233480176211454	0	0.222222222222222	0.180147058823529	0.228426395939086	0.330143540669856	0.277153558052434	0	0	0	0.157407407407407	0.266832917705736	0	0	0.227611940298507	0.315789473684211	0.21304347826087	0.194214876033058	0.285714285714286	0.2	0.227272727272727	0.192090395480226	0	0.202479338842975	0.100323624595469	0.209558823529412	0.0829015544041451	0.1640625	0	0.180878552971576	0.207317073170732	0.247557003257329	0	0.339805825242718	0	0	0.171428571428571	0.113483146067416	0.152838427947598	0	0	0	0	0.229166666666667	0.1975	0.301115241635688	0.25065274151436	0.214285714285714	0.276363636363636	0.210526315789474	0.11214953271028	0	0.270531400966184	0.195121951219512	0	0.222222222222222	0.0182926829268293	0.174447174447174	0.263513513513513	0.229571984435798	0.04	0.17741935483871	0.226837060702875	0.226837060702875
Etodolac	0	0	0.110132158590308	0.123404255319149	0	0	0.2	0	0.234265734265734	0	0	0.216374269005848	0	0.176730486008837	0.1796875	0	0.237354085603113	0.0575916230366492	0.218348623853211	0.18936877076412	0.26099706744868	0	0.293103448275862	0	0.321543408360129	0.217687074829932	0	0	0.240740740740741	0.292418772563177	0.202416918429003	0.174863387978142	0.202020202020202	0.219387755102041	0.240143369175627	0	0.360714285714286	0.240143369175627	0.247191011235955	1	0.237037037037037	0.210526315789474	0.20703125	0	0.263565891472868	0.215277777777778	0.183406113537118	0.213438735177866	0.245791245791246	0	0	0	0.157676348547718	0.284688995215311	0	0	0.238754325259516	0.205128205128205	0.227091633466135	0.277894736842105	0.133928571428571	0.208849557522124	0.217241379310345	0.2	0	0.194029850746269	0.125	0.283154121863799	0.101851851851852	0.265957446808511	0	0.239795918367347	0.207364341085271	0.190751445086705	0	0.234817813765182	0	0	0.183288409703504	0.169724770642202	0.172	0	0	0	0	0.270588235294118	0.233009708737864	0.210862619808307	0.181395348837209	0.202985074626866	0.217948717948718	0.249462365591398	0.191964285714286	0	0.221757322175732	0.136929460580913	0	0.233463035019455	0.0208333333333333	0.270676691729323	0.195845697329377	0.214788732394366	0.0497512437810945	0.158878504672897	0.232835820895522	0.232835820895522
Etoposide	0	0	0.178947368421053	0.191919191919192	0	0	0.132420091324201	0	0.217228464419476	0	0	0.243589743589744	0	0.161144578313253	0.245454545454545	0	0.288888888888889	0.0674846625766871	0.20226843100189	0.222222222222222	0.236923076923077	0	0.21219512195122	0	0.243506493506494	0.274131274131274	0	0	0.24929178470255	0.30952380952381	0.254237288135593	0.148571428571429	0.153846153846154	0.304347826086957	0.216117216117216	0	0.208904109589041	0.216117216117216	0.255144032921811	0.237037037037037	1	0.185031185031185	0.216450216450216	0	0.257383966244726	0.243243243243243	0.185365853658537	0.218340611353712	0.305343511450382	0	0	0	0.274111675126904	0.25679012345679	0	0	0.259541984732824	0.280851063829787	0.191489361702128	0.196280991735537	0.241758241758242	0.173835125448029	0.23574144486692	0.239766081871345	0	0.226890756302521	0.144295302013423	0.27906976744186	0.117021276595745	0.185185185185185	0	0.186528497409326	0.25	0.192546583850932	0	0.276497695852535	0	0	0.161016949152542	0.118376550169109	0.183035714285714	0	0	0	0	0.203252032520325	0.197007481296758	0.240282685512367	0.209068010075567	0.194267515923567	0.23943661971831	0.223451327433628	0.127358490566038	0	0.333333333333333	0.171428571428571	0	0.197628458498024	0.0181818181818182	0.174019607843137	0.179245283018868	0.337552742616034	0.0457142857142857	0.164021164021164	0.262295081967213	0.262295081967213
Everolimus	0	0	0.142857142857143	0.146788990825688	0	0	0.0963597430406852	0	0.168650793650794	0	0	0.244274809160305	0	0.266829865361077	0.169565217391304	0	0.239373601789709	0.0233644859813084	0.306240928882438	0.164705882352941	0.237918215613383	0	0.278991596638655	0	0.25631067961165	0.2375	0	0	0.267985611510791	0.190380761523046	0.288617886178862	0.142367066895369	0.0797266514806378	0.268206039076377	0.271232876712329	0	0.226640159045726	0.271232876712329	0.208067940552017	0.210526315789474	0.185031185031185	1	0.167023554603854	0	0.180672268907563	0.135658914728682	0.147058823529412	0.157782515991471	0.212	0	0	0	0.109913793103448	0.328178694158076	0	0	0.180914512922465	0.202127659574468	0.142857142857143	0.277272727272727	0.142191142191142	0.305397727272727	0.206967213114754	0.101851851851852	0	0.195698924731183	0.0960144927536232	0.217213114754098	0.0748299319727891	0.227586206896552	0	0.22165820642978	0.295625942684766	0.283168316831683	0	0.158458244111349	0	0	0.184210526315789	0.217054263565891	0.109014675052411	0	0	0	0	0.154639175257732	0.370165745856354	0.247464503042596	0.340540540540541	0.192164179104478	0.313432835820896	0.2765625	0.0934782608695652	0	0.170731707317073	0.123348017621145	0	0.248206599713056	0.0117096018735363	0.210097719869707	0.257874015748031	0.190573770491803	0.0323325635103926	0.117782909930716	0.257751937984496	0.257751937984496
Exemestane	0	0	0.206060606060606	0.159340659340659	0	0	0.103960396039604	0	0.435406698564593	0	0	0.226351351351351	0	0.13719512195122	0.197115384615385	0	0.244131455399061	0.0492957746478873	0.175	0.173076923076923	0.236065573770492	0	0.229166666666667	0	0.274021352313167	0.22	0	0	0.209302325581395	0.244897959183673	0.227758007117438	0.1671826625387	0.134969325153374	0.22478386167147	0.172477064220183	0	0.237735849056604	0.172477064220183	0.233480176211454	0.20703125	0.216450216450216	0.167023554603854	1	0	0.246575342465753	0.178571428571429	0.337423312883436	0.159817351598174	0.219230769230769	0	0	0	0.158974358974359	0.213032581453634	0	0	0.234817813765182	0.26605504587156	0.214285714285714	0.181236673773987	0.248447204968944	0.184210526315789	0.442307692307692	0.191082802547771	0	0.219178082191781	0.128571428571429	0.22	0.128048780487805	0.219020172910663	0	0.17027027027027	0.1875	0.192691029900332	0	0.235294117647059	0	0	0.180428134556575	0.103881278538813	0.170731707317073	0	0	0	0	0.226244343891403	0.194225721784777	0.216417910447761	0.184895833333333	0.291512915129151	0.193430656934307	0.197278911564626	0.103092783505155	0	0.298913043478261	0.270114942528736	0	0.157370517928287	0.0214285714285714	0.197889182058047	0.17056856187291	0.216666666666667	0.0533333333333333	0.181818181818182	0.237113402061856	0.237113402061856
