17-DMAG	2-Methoxyestradiol	Abiraterone	Afatinib	Aflibercept	Aldesleukin	Aminophylline	Anakinra	Anastrozole	Arsenic trioxide	Axitinib	Azacitidine	Bevacizumab	Bortezomib	Bosutinib	Brentuximab vedotin	Cabazitaxel	Canfosfamide	Capecitabine	Carmustine	Carvedilol	Cediranib	Celecoxib	Cetuximab	Chenodeoxycholic acid	Clofarabine	Cytarabine	Dacarbazine	Dasatinib	Daunorubicin	Decitabine	Dexamethasone	Diphenhydramine	Docetaxel	Doxorubicin	Emodin	Enalapril	Epirubicin	Erlotinib	Etodolac	Etoposide	Everolimus	Exemestane	Fenretinide	Fludarabine	Fluorouracil	Fulvestrant	Gefitinib	Gemcitabine	Gemtuzumab ozogamicin	Genistein	Ibritumomab tiuxetan	Idarubicin	Imatinib	Interferon alfa-2a	Ipilimumab	Irinotecan	Ixabepilone	Ketoconazole	Lansoprazole	Lapatinib	Lenalidomide	Letrozole	Leucovorin	LG100268	Metformin	Midazolam	Mitoxantrone	Naloxone	Octreotide	Olaparib	Oxycodone	Paclitaxel	Pazopanib	Peginterferon alfa-2b	Pemetrexed	Pertuzumab	Plitidepsin	Prednisone	Pregabalin	Propranolol	Rifampin	Rituximab	Romidepsin	Romiplostim	Simvastatin	Sirolimus	Sorafenib	Sunitinib	Tamoxifen	Temsirolimus	Thalidomide	Theophylline	Tipifarnib	Topotecan	Toremifene	Trastuzumab	Tretinoin	Trifluridine	Valproic Acid	Vandetanib	Vinorelbine	Vitamin D2	Vorinostat	Zoledronate	Zoledronic acid
Axitinib	NA	NA	0	0	NA	NA	0	NA	0	NA	NA	0	NA	0	0	NA	0	0	0	0	0	NA	0	NA	0	0	NA	NA	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	NA	0	0	0	0	0	NA	NA	NA	0	0	NA	NA	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	NA	0	0	0	NA	0	NA	NA	0	0	0	NA	NA	NA	NA	0	0	0	0	0	0	0	0	NA	0	0	NA	0	0	0	0	0	0	0	0	0
Azacitidine	0	0	0.154716981132075	0.182156133828996	0	0	0.10738255033557	0	0.183139534883721	0	0	1	0	0.225574712643678	0.219178082191781	0	0.300699300699301	0.032258064516129	0.24006908462867	0.194202898550725	0.23469387755102	0	0.221518987341772	0	0.291666666666667	0.307936507936508	0	0	0.278728606356968	0.237237237237237	0.458064516129032	0.138823529411765	0.106060606060606	0.269689737470167	0.237147595356551	0	0.208333333333333	0.237147595356551	0.240384615384615	0.216374269005848	0.243589743589744	0.244274809160305	0.226351351351351	0	0.217948717948718	0.195266272189349	0.221804511278195	0.191419141914191	0.228985507246377	0	0	0	0.148275862068966	0.301762114537445	0	0	0.208211143695015	0.255737704918033	0.167741935483871	0.212844036697248	0.207843137254902	0.290718038528897	0.240853658536585	0.176	0	0.230263157894737	0.128	0.237237237237237	0.0977443609022556	0.221198156682028	0	0.227272727272727	0.274952919020716	0.219895287958115	0	0.192691029900332	0	0	0.16824644549763	0.143769968051118	0.141447368421053	0	0	0	0	0.177570093457944	0.224400871459695	0.226628895184136	0.246119733924612	0.177835051546392	0.26530612244898	0.211832061068702	0.106896551724138	0	0.258181818181818	0.131034482758621	0	0.198606271777003	0.0121457489878543	0.222222222222222	0.225201072386059	0.223926380368098	0.03515625	0.135338345864662	0.290055248618785	0.290055248618785
Bevacizumab	NA	NA	0	0	NA	NA	0	NA	0	NA	NA	0	NA	0	0	NA	0	0	0	0	0	NA	0	NA	0	0	NA	NA	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	NA	0	0	0	0	0	NA	NA	NA	0	0	NA	NA	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	NA	0	0	0	NA	0	NA	NA	0	0	0	NA	NA	NA	NA	0	0	0	0	0	0	0	0	NA	0	0	NA	0	0	0	0	0	0	0	0	0
Bortezomib	0	0	0.0901898734177215	0.0885093167701863	0	0	0.0786686838124055	0	0.128571428571429	0	0	0.225574712643678	0	1	0.131699846860643	0	0.177847113884555	0.0273311897106109	0.302958579881657	0.160583941605839	0.214285714285714	0	0.239690721649485	0	0.216642754662841	0.197289156626506	0	0	0.253112033195021	0.174298375184638	0.218978102189781	0.149867374005305	0.062992125984252	0.244897959183673	0.315850815850816	0	0.190684133915575	0.315850815850816	0.173780487804878	0.176730486008837	0.161144578313253	0.266829865361077	0.13719512195122	0	0.161339421613394	0.155653450807636	0.101088646967341	0.130699088145897	0.178102189781022	0	0	0	0.101538461538462	0.295212765957447	0	0	0.160583941605839	0.171253822629969	0.106983655274889	0.274725274725275	0.0985691573926868	0.333333333333333	0.17037037037037	0.0763116057233704	0	0.141779788838612	0.116343490304709	0.172566371681416	0.0579937304075235	0.209271523178808	0	0.216073781291173	0.284848484848485	0.174273858921162	0	0.12937595129376	0	0	0.171122994652406	0.275831873905429	0.0960960960960961	0	0	0	0	0.134128166915052	0.251655629139073	0.169054441260745	0.228868660598179	0.158620689655172	0.175539568345324	0.290240811153359	0.0748091603053435	0	0.131987577639752	0.0989180834621329	0	0.261484098939929	0.00956937799043062	0.216494845360825	0.186440677966102	0.174174174174174	0.0188679245283019	0.0736677115987461	0.226551226551227	0.226551226551227
Bosutinib	0	0	0.222929936305732	0.221556886227545	0	0	0.085427135678392	0	0.181451612903226	0	0	0.219178082191781	0	0.131699846860643	1	0	0.29	0.0757575757575758	0.168278529980658	0.146153846153846	0.209150326797386	0	0.171284634760705	0	0.262589928057554	0.295652173913043	0	0	0.235649546827795	0.206477732793522	0.247232472324723	0.0914454277286136	0.105590062111801	0.215116279069767	0.159633027522936	0	0.171532846715328	0.159633027522936	0.224215246636771	0.1796875	0.245454545454545	0.169565217391304	0.197115384615385	0	0.192825112107623	0.155378486055777	0.241176470588235	0.216748768472906	0.24	0	0	0	0.171122994652406	0.216836734693878	0	0	0.182539682539683	0.251162790697674	0.209756097560976	0.158898305084746	0.26797385620915	0.162313432835821	0.210743801652893	0.224489795918367	0	0.232227488151659	0.0880281690140845	0.211382113821138	0.0920245398773006	0.162011173184358	0	0.167123287671233	0.177824267782427	0.226480836236934	0	0.262886597938144	0	0	0.117994100294985	0.0909090909090909	0.159203980099502	0	0	0	0	0.183856502242152	0.182058047493404	0.24124513618677	0.227397260273973	0.166666666666667	0.28	0.160356347438753	0.0894736842105263	0	0.29608938547486	0.132275132275132	0	0.145708582834331	0.0149253731343284	0.179419525065963	0.190972222222222	0.244541484716157	0.0342465753424658	0.175	0.234265734265734	0.234265734265734
Brentuximab vedotin	NA	NA	0	0	NA	NA	0	NA	0	NA	NA	0	NA	0	0	NA	0	0	0	0	0	NA	0	NA	0	0	NA	NA	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	NA	0	0	0	0	0	NA	NA	NA	0	0	NA	NA	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	NA	0	0	0	NA	0	NA	NA	0	0	0	NA	NA	NA	NA	0	0	0	0	0	0	0	0	NA	0	0	NA	0	0	0	0	0	0	0	0	0
Cabazitaxel	0	0	0.253012048192771	0.27906976744186	0	0	0.131707317073171	0	0.197674418604651	0	0	0.300699300699301	0	0.177847113884555	0.29	0	1	0.0394736842105263	0.2375249500998	0.221789883268482	0.241157556270096	0	0.249350649350649	0	0.310714285714286	0.336170212765957	0	0	0.264880952380952	0.246031746031746	0.325842696629214	0.135294117647059	0.14792899408284	0.284023668639053	0.224952741020794	0	0.238970588235294	0.224952741020794	0.284444444444444	0.237354085603113	0.288888888888889	0.239373601789709	0.244131455399061	0	0.226086956521739	0.1953125	0.268156424581006	0.240566037735849	0.244274809160305	0	0	0	0.198979591836735	0.280519480519481	0	0	0.286885245901639	0.344339622641509	0.233644859813084	0.213362068965517	0.3125	0.224137931034483	0.282157676348548	0.217391304347826	0	0.26027397260274	0.124567474048443	0.261044176706827	0.14792899408284	0.241379310344828	0	0.238095238095238	0.258695652173913	0.243243243243243	0	0.266990291262136	0	0	0.168639053254438	0.130938586326767	0.152777777777778	0	0	0	0	0.201716738197425	0.237333333333333	0.268939393939394	0.240641711229947	0.188741721854305	0.322834645669291	0.22883295194508	0.131979695431472	0	0.32620320855615	0.185567010309278	0	0.187122736418511	0.0201342281879195	0.2088772845953	0.268551236749117	0.297413793103448	0.0569620253164557	0.207100591715976	0.32258064516129	0.32258064516129
Canfosfamide	0	0	0.0697674418604651	0.0721649484536082	0	0	0.104761904761905	0	0.0432432432432432	0	0	0.032258064516129	0	0.0273311897106109	0.0757575757575758	0	0.0394736842105263	1	0.0285714285714286	0.0702702702702703	0.0465116279069767	0	0.0310734463276836	0	0.04149377593361	0.0476190476190476	0	0	0.026578073089701	0.0588235294117647	0.043859649122807	0.0424710424710425	0.0684931506849315	0.0392156862745098	0.0330097087378641	0	0.0424528301886792	0.0330097087378641	0.0613496932515337	0.0575916230366492	0.0674846625766871	0.0233644859813084	0.0492957746478873	0	0.0641025641025641	0.0734463276836158	0.0673076923076923	0.0652173913043478	0.05	0	0	0	0.11214953271028	0.0357142857142857	0	0	0.0645161290322581	0.05625	0.049645390070922	0.0299539170506912	0.0681818181818182	0.0234833659491194	0.0489130434782609	0.111111111111111	0	0.0526315789473684	0.0295566502463054	0.0760869565217391	0.0540540540540541	0.0429042904290429	0	0.028391167192429	0.0311804008908686	0.037037037037037	0	0.0507246376811594	0	0	0.041044776119403	0.0153482880755608	0.064	0	0	0	0	0.0649350649350649	0.0357142857142857	0.0428571428571429	0.0357142857142857	0.0340425531914894	0.0526315789473684	0.0293398533007335	0.114583333333333	0	0.0645161290322581	0.0363636363636364	0	0.0304347826086957	0.0285714285714286	0.0327380952380952	0.0384615384615385	0.0632183908045977	0.02	0.0864197530864197	0.0368852459016393	0.0368852459016393
Capecitabine	0	0	0.126016260162602	0.118577075098814	0	0	0.0926275992438563	0	0.195255474452555	0	0	0.24006908462867	0	0.302958579881657	0.168278529980658	0	0.2375249500998	0.0285714285714286	1	0.180679785330948	0.249146757679181	0	0.2921875	0	0.259717314487633	0.213235294117647	0	0	0.278606965174129	0.233644859813084	0.24113475177305	0.154574132492114	0.0843373493975904	0.354166666666667	0.35792349726776	0	0.257826887661142	0.35792349726776	0.211832061068702	0.218348623853211	0.20226843100189	0.306240928882438	0.175	0	0.169459962756052	0.181159420289855	0.130177514792899	0.16	0.204301075268817	0	0	0	0.117307692307692	0.351046698872786	0	0	0.215469613259669	0.220502901353965	0.146616541353383	0.323144104803493	0.125506072874494	0.340136054421769	0.206261510128913	0.097165991902834	0	0.175803402646503	0.122073578595318	0.202185792349727	0.0693069306930693	0.240829346092504	0	0.240944881889764	0.397280966767372	0.254833040421793	0	0.185546875	0	0	0.178060413354531	0.269932756964457	0.116322701688555	0	0	0	0	0.157116451016636	0.259720062208398	0.238181818181818	0.308562197092084	0.201022146507666	0.226618705035971	0.313988095238095	0.0900383141762452	0	0.166994106090373	0.138339920948617	0	0.276944065484311	0.0121951219512195	0.262090483619345	0.223958333333333	0.209345794392523	0.0301204819277108	0.0978043912175649	0.261022927689594	0.261022927689594
Carmustine	0	0	0.112107623318386	0.130434782608696	0	0	0.128630705394191	0	0.187074829931973	0	0	0.194202898550725	0	0.160583941605839	0.146153846153846	0	0.221789883268482	0.0702702702702703	0.180679785330948	1	0.18005540166205	0	0.165548098434004	0	0.200589970501475	0.212328767123288	0	0	0.198453608247423	0.229166666666667	0.197568389057751	0.157608695652174	0.119617224880383	0.218508997429306	0.186206896551724	0	0.185534591194969	0.186206896551724	0.205128205128205	0.18936877076412	0.222222222222222	0.164705882352941	0.173076923076923	0	0.192592592592593	0.214035087719298	0.171052631578947	0.134831460674157	0.2	0	0	0	0.160337552742616	0.192393736017897	0	0	0.204081632653061	0.226415094339623	0.142857142857143	0.170873786407767	0.146788990825688	0.176776429809359	0.175084175084175	0.145631067961165	0	0.153284671532847	0.130030959752322	0.204081632653061	0.109004739336493	0.1712158808933	0	0.187192118226601	0.213725490196078	0.149295774647887	0	0.171206225680934	0	0	0.175675675675676	0.142857142857143	0.115830115830116	0	0	0	0	0.176470588235294	0.197149643705463	0.153846153846154	0.169373549883991	0.191044776119403	0.193650793650794	0.204592901878914	0.123931623931624	0	0.195020746887967	0.158798283261803	0	0.171003717472119	0.0267379679144385	0.223844282238443	0.163265306122449	0.235507246376812	0.050761421319797	0.12962962962963	0.19941348973607	0.19941348973607
