"TTN"
"TSC2"
"LDB3"
"ART4"
"AHNAK"
"SETBP1"
"YTHDC2"
"AIM1L"
"TTK"
"COL4A1"
"NRG1"
"FAM149A"
"CDH19"
"PTPRB"
"PSEN1"
"ZIM2"
"MYO1C"
"DLD"
"CHD9"
"HAP1"
"BAI2"
"ZNF480"
"OBSCN"
"TNFAIP8"
"CACNA1H"
"PANK1"
"DIAPH3"
"PARD6A"
"KIF26B"
"ARHGAP17"
"XPO5"
"COL14A1"
"IGSF3"
"PIK3CA"
"INTS6"
"ST13"
"SLC35B4"
"ZNF629"
"NAA60"
"HERC1"
"FEZ1"
"PBRM1"
"PDE4DIP"
"OR51S1"
"LRP1"
"PTPN12"
"ZNF836"
"BRCA2"
"LRP10"
"SLC19A1"
"YEATS2"
"SH3BP5"
"NIPA2"
"ZFPL1"
"CTDP1"
"ZFAT"
"NCOR1"
"C20orf114"
"CSPP1"
"KLHL14"
"KSR2"
"GNPAT"
"TDRD6"
"RAE1"
"PAX6"
"RG9MTD2"
"BPI"
"FRMD1"
"HIST2H2BF"
"ABL1"
"MYH14"
"WWOX"
"ABCC1"
"PDIK1L"
"ZRANB1"
"GON4L"
"LRP6"
"RABGEF1"
"CWH43"
"PHLDB2"
"SCN7A"
"ZNF697"
"TECTA"
"HSD17B8"
"AC117834.1"
"NPAT"
"AASS"
"TMC1"
"MGAT3"
"ORC1"
"KIAA1462"
"ASPM"
"DHFR"
"SLC28A3"
"CAMKK2"
"CCDC134"
"IFIH1"
"POTEF"
"NF2"
"LSM14B"
"GOLGA8C"
"HTR1D"
"SYNE1"
"N4BP2"
"TMTC4"
"RRP9"
"ACACA"
"PTPRF"
"NCOA1"
"FABP2"
"PCDH10"
"VPS36"
"CDK7"
"ZNF621"
"KLHL31"
"YIF1A"
"TRIO"
"CHST12"
"PIEZO2"
"TRIM66"
"ZEB2"
"INVS"
"HYDIN"
"SVIL"
"TMEM156"
"DCLRE1C"
"POTEH"
"LAMA2"
"CLDN2"
"BACH2"
"SYCP1"
"AIM1"
"SIGLEC12"
"BRWD3"
"PPP5C"
"ZNF423"
"VAX1"
"HSD17B2"
"TSPAN10"
"IARS2"
"SPEG"
"PHF11"
"SYDE2"
"MCM7"
"PSMD13"
"C2CD3"
"AHNAK2"
"DCP2"
"TADA2B"
"RP13-218H24_1"
"KLHL38"
"ABCB8"
"DBC1"
"RANBP2"
"FBRS"
"PPFIA2"
"NSD1"
"MYO16"
"HMCN1"
"C11orf57"
"HSP90AA1"
"RMI1"
"ZCWPW1"
"PEX14"
"MAGEC1"
"PCDH15"
"MUC4"
"WDR63"
"C11orf24"
"ADAM12"
"CCDC73"
"SLC12A8"
"KIF22"
"VWA2"
"EIF4G1"
"IK"
"PDCL"
"TMEM130"
"UNC93A"
"BASP1"
"MARCH10"
"CCBE1"
"LRRC37A3"
"HDAC4"
"SEMA5A"
"SPIC"
"CENPQ"
"ATG4A"
"DPYSL3"
"SHANK2"
"ADAM22"
"LOXL1"
"CCDC38"
"ABCA13"
"DENND5B"
"C1QL1"
"FAT1"
"TAS2R3"
"PNPLA8"
"C1orf162"
"SRGAP1"
"NCEH1"
"USPL1"
"SLIT1"
"FSCB"
"DCAF6"
"GCK"
"NUMA1"
"ARID4B"
"GPR139"
"SLC17A1"
"PKN1"
"DOT1L"
"PCNXL2"
"DLG1"
"LRRN4"
"DSP"
"PCDHGB2"
"CMYA5"
"GBF1"
"KIR2DL4"
"NARG2"
"KRT16"
"SYN3"
"CDH26"
"EYS"
"OR2T1"
"ZFYVE1"
"KRTAP10-5"
"SCN1A"
"KCTD8"
"ITGAL"
"MBD6"
"USP3"
"PDZD2"
"CREBBP"
"EXTL3"
"AKAP9"
"F2RL1"
"PRTG"
"HAPLN1"
"EIF2C2"
"NUP98"
"PSME4"
"CDR2"
"CCT4"
"TAF4B"
"EP300"
"PLCH1"
"GALNT14"
"TMPPE"
