"GAS2L3"
"TFAP2E"
"VCX3A"
"PODN"
"TRIP11"
"PARD6B"
"ZNF28"
"ARHGEF26"
"OR10A7"
"NOD1"
"WDR7"
"SUZ12"
"SIGLEC9"
"ZIM2"
"HOXC5"
"ATPAF1"
"ZNF627"
"OFD1"
"CT45A5"
"CCT8L2"
"PREP"
"AL359878.1"
"CCDC89"
"ATPAF2"
"EML1"
"MUC4"
"DUSP28"
"PTPRZ1"
"KCNH1"
"NCS1"
"CGNL1"
"SRPRB"
"MLL2"
"SORCS2"
"BAAT"
"ADAMTS14"
"EHBP1L1"
"ENSG00000250305"
"NUP93"
"KDM5C"
"CDH3"
"EMR2"
"WDR93"
"C9orf107"
"ZC3H11A"
"CLSTN1"
"VCAN"
"EP400"
"HTT"
"RASD2"
"FAM9A"
"SEZ6"
"XRCC1"
"LGSN"
"RP11-677O4.1"
"SQLE"
"RBMXL3"
"IL1RAPL2"
"GJB1"
"TWF2"
"CACNA1H"
"TEKT5"
"C10orf120"
"TINAG"
"CBR3"
"WNT7A"
"RXFP2"
"BAP1"
"C9orf129"
"C1orf222"
"FAM196B"
"PLEKHA5"
"RP11-368J21.2"
"DNAL1"
"FAM193A"
"TP53BP1"
"DZIP3"
"NRAS"
"C20orf194"
"CASP1"
"PCLO"
"OTOG"
"TTLL3"
"IFITM1"
"POTEH"
"LILRA2"
"FAM105A"
"ZNF486"
"TBC1D2B"
"CHD7"
"RBM15B"
"PPP1R15A"
"FAM120C"
"FANCA"
"ZC3H14"
"BTG3"
"SORCS3"
"MUC16"
"OR13A1"
"GFPT2"
"LINGO4"
"CTC1"
"PLXNB3"
"ZNF177"
"SLC2A8"
"SETBP1"
"ACVR2A"
"PPM1D"
"ACACB"
"OR51I1"
"GDF9"
"GBA"
"CSRNP2"
"PRKAR2B"
"PCNXL2"
"TMCO2"
"LRRTM3"
"CXCL16"
"TMEM156"
"TCEB3B"
"AP4S1"
"C1orf147"
"SCML1"
"COL24A1"
"NWD1"
"RSPH3"
"ENSG00000171101"
"MKL1"
"CXorf38"
"ZNF714"
"RAB34"
"ARHGEF6"
"PGM5"
"PPFIBP1"
"ADAMTS9"
"ZNF239"
"MAMDC2"
"CD180"
"GALC"
"EFR3A"
"SLC38A9"
"SMG7"
"DMXL2"
"MYH9"
"HKDC1"
"TBL2"
"MTTP"
"KIAA0240"
"ADCY10"
"CA5B"
"AMD1"
"C10orf112"
"C19orf63"
"CYP4B1"
"RAB20"
"KLHL36"
"SNCAIP"
"WBSCR27"
"C9orf102"
"BEST3"
"ZUFSP"
"LRBA"
"PLBD1"
"HMGXB3"
"CHRND"
"LRRC34"
"NDUFS1"
"POC1B"
"WNK3"
"RNF185"
"FAM134B"
"TTN"
"HBG2"
"RIF1"
"ESPL1"
"PKDREJ"
"HSD3B2"
"DDX60L"
"HTR3D"
"ZNF192"
"IQUB"
"PHC1B"
"CEP68"
"RAF1"
"SLC5A5"
"AHCTF1"
"SLC35C2"
"OFCC1"
"LRRK2"
"TLR6"
"SLC6A3"
"KIAA1614"
"GRM8"
"MST4"
"MYO5A"
"IQCF3"
"SLC22A5"
"PQLC2"
"PSMD2"
"CREBBP"
"UBN1"
"GHITM"
"ZNF257"
"GATA1"
"IL6ST"
"SNX6"
"TMEM132C"
"SLC7A2"
"RHOT2"
"NCKAP5L"
"TREML2"
"USP13"
"AVPR2"
"SCN7A"
"DIDO1"
"CA4"
"RNF123"
"SYNPO2"
"IL5RA"
"KCNK10"
"SLC4A1AP"
"ZNF292"
"MIA3"
"SLC25A45"
"GNL3L"
"COL27A1"
"MAST2"
"F2R"
"NFATC1"
"XAF1"
"TBRG4"
"ACAD10"
"KCTD16"
"IMP4"
"C10orf128"
"USHBP1"
"SEC16A"
"NEO1"
"COL25A1"
