"SLC35F4"
"SIK3"
"UGT1A8"
"FRMD4B"
"BLACE"
"B3GNT4"
"SCRN3"
"HIST2H2BF"
"ECEL1"
"MCM9"
"POU3F4"
"REV3L"
"GPR18"
"MUC16"
"PREPL"
"NCKAP5"
"ABCC8"
"CGN"
"MYH3"
"DMRT3"
"ZNF573"
"MAP3K4"
"SNX33"
"KIF16B"
"ZNF317"
"FAM22F"
"TTC14"
"KAT2A"
"MPP5"
"DST"
"OR2A42"
"OR11H1"
"C10orf82"
"PPFIBP1"
"NCOR1"
"PTX4"
"CACNA1I"
"NALP6"
"GPR179"
"ABCG5"
"POTEJ"
"RUNDC3B"
"C14orf49"
"RORC"
"SATL1"
"RARB"
"UNC13B"
"REST"
"EPYC"
"PRRC2A"
"LILRA6"
"ESPL1"
"CNIH"
"ZNF142"
"TACO1"
"KIAA1549"
"CLCN3"
"Q8NGM6"
"QRSL1"
"Q86TU9"
"POLR2A"
"DYTN"
"LONP1"
"OOEP"
"TCF20"
"NSUN2"
"SLC25A17"
"ZFAT"
"CATSPERG"
"TUBGCP3"
"PNPLA4"
"DENND4B"
"BTG3"
"CELA2A"
"PRSS1"
"PARD6B"
"NEK10"
"WNK1"
"ABCB1"
"ANKRD56"
"IFT46"
"NUDCD1"
"PPOX"
"TRMT6"
"C6orf221"
"SCAF4"
"FBXL5"
"LRP6"
"SCN7A"
"SLIT1"
"FAM65A"
"RABGEF1"
"UBR4"
"NR3C1"
"MRPL23"
"PTPRT"
"RACGAP1"
"ZNF7"
"TTC28"
"TRIM44"
"CSMD1"
"CDH1"
"NTRK3"
"RORA"
"STK25"
"PGBD5"
"DICER1"
"AXL"
"CDC73"
"CNOT7"
"CES5A"
"NAGA"
"TDRD12"
"C12orf45"
"HAX1"
"ECD"
"RAPGEF4"
"TBC1D7"
"DNAH17"
"KIAA1239"
"STAT2"
"EDARADD"
"DNM2"
"C15orf52"
"OR10V1"
"SYCP1"
"RCOR1"
"ZNF558"
"EGR1"
"CCDC125"
"NISCH"
"NDN"
"NUP88"
"KRT32"
"KIAA0100"
"CCDC69"
"LCP1"
"RECQL"
"ITIH3"
"FREM1"
"SPAG4"
"NCL"
"TPPP3"
"CHEK2"
"HNRNPUL1"
"CHD8"
"ZNF430"
"PPM1D"
"KIF5B"
"CTCFL"
"LSR"
"EVL"
"LOC81691"
"NBEAL1"
"NIN"
"VIPR2"
"LHX5"
"N4BP2L2"
"BCR"
"HOXD9"
"GPR142"
"NALCN"
"ZNF181"
"FOXD4"
"GGNBP2"
"OR5H2"
"DEK"
"KIAA1529"
"CCDC84"
"DOCK2"
"RHOT1"
"PAX6"
"TRPS1"
"COL9A1"
"C16orf88"
"ACVR2A"
"CCDC60"
"NEB"
"NCOA1"
"CCPG1"
"NPY2R"
"TGM7"
"ARL13B"
"HNRNPC"
"ENO4"
"IL10RA"
"CR1"
"XPO7"
"PCLO"
"DOK3"
"KIF27"
"SLITRK3"
"PEX7"
"RNF43"
"ST6GALNAC1"
"LOC51321"
"TMEM176A"
"CLDN2"
"GPRC6A"
"PPM1F"
"IDS"
"RSAD2"
"TBX18"
"KIAA1543"
"ATAD2B"
"ERI2"
"TTC33"
"SEC14L1"
"GNAS"
"GBP1"
"GIMAP5"
"VWF"
"ATAD3C"
"RNF6"
"NPEPPS"
"DDX11"
"ZWILCH"
"USP15"
"HTR3C"
"RBM43"
"ABL1"
"KIF13B"
"LRP1"
"GOLIM4"
"THBD"
"OR13G1"
"GTSE1"
"APCDD1"
"TRIM55"
"BRD8"
"PPFIA2"
"PAX7"
"TUBA3E"
"MAGI3"
"DDIT4L"
"C16orf62"
"CFL1"
"LMAN2L"
"ZMYM2"
"GPR133"
"SLC12A8"
"OR2H1"
"RAE1"
"EPHA5"
"SLC10A7"
"MATR3"
"AMY2B"
"CLSTN3"
"HK2"
"GJA5"
"TRIM35"
"ZMYND8"
"C9orf123"
"AADACL3"
"CCDC28B"
"SMAP2"
"AKD1"
"PLXNA2"
"SEMA6A"
"KRTAP20-1"
"SNAPC2"
"TOP3A"
"ODZ1"
"RNF19B"
"NCAPG"
"KDM2B"
"SYMPK"
"TSG101"
"APOB"
"PTGS1"
"ATP4A"
"PADI3"
"AMIGO1"
"AASS"
"TXN2"
"DNAH9"
"FAM86A"
"RIF1"
"ANGPTL5"
"ANKRD11"
"UBASH3A"
"RERE"
"LMBRD2"
"CRNN"
"ECSIT"
"KIDINS220"
"TTN"
"AACS"
"NECAB2"
"SORCS1"
"AHNAK"
"DBC1"
"NPTX1"
"VPS35"
"JAG1"
"RBM18"
"TTC38"
"ZNF257"
"SVIL"
"ITPR2"
"AL033381.1"
"SLC9A11"
"FNBP4"
"ZNF66P"
"FAM55D"
"ZBTB12"
"MCTP2"
"MYO1A"
"DNAH8"
"ZFHX4"
"USP45"
"ACTL6A"
"FBN2"
"ITGA6"
"C9orf41"
"DAPK2"
"NPHP3"
"TBC1D4"
"BAI1"
"FCHSD1"
"ESRRA"
"RDH10"
"CHST15"
"FN1"
"COG7"
"CMTM1"
"KLF12"
"BCAM"
"TOX"
"PPP1R9A"
"USP1"
"SNTG1"
"PPT1"
"EIF4EBP1"
"LLGL2"
"CD36"
"TINAGL1"
"DDX17"
"ZNF331"
"ANKS1A"
"FAM116A"
"PDP1"
"SLC1A7"
"TRMT61A"
"RPL22"
"IQCD"
"ZBTB32"
"INPP5B"
"TDRD6"
"LPHN2"
"WWP2"
"SYNPO2L"
"DOCK8"
"C5orf42"
"IP6K1"
"POLQ"
"C22orf28"
"SDK2"
"RAVER2"
"P4HA2"
"ST6GAL2"
"ZNF462"
"CRHR2"
"TRRAP"
"ACACA"
"THBS4"
"PAPLN"
"NUP188"
"SLC4A11"
"BRD3"
"ZNF415"
"CEACAM5"
"SIGLEC7"
"NF1"
"NCKAP1L"
"RYR2"
"ZNF460"
"PUF60"
"DOCK1"
"SNTG2"
"PRMT3"
"MCCC2"
"NHSL1"
"FOPNL"
"GNPAT"
"PIK3CA"
"BMPER"
"STXBP2"
"NOTCH1"
"POTEH"
"C9orf79"
"KIAA1024"
"POLM"
"USP29"
"SDK1"
"METTL20"
"ADARB1"
"AC006486.1"
"LYPLA1"
"XIRP2"
"VPS13B"
"SSH1"
"ALMS1"
"CRTAC1"
"MYL4"
"O10D4"
"EYS"
"TRPV6"
"FAM55B"
"SLMAP"
"WNT2B"
"ZNF135"
"NAPA"
"SIRT7"
"LDB1"
"RNF135"
"KIR3DL2"
"NPAS2"
"DAAM2"
"OCA2"
"TMEM146"
"PPP2R1A"
"LEP"
"UBIAD1"
"FURIN"
"GRIK2"
"ST3GAL3"
"C19orf51"
"OBSCN"
"SCN3B"
"CTNNB1"
"GNPNAT1"
"GGA2"
"MAP1B"
"AKAP4"
"FNBP1L"
"GPR98"
"NPVF"
"CLEC2D"
"IFNAR2"
"NFATC4"
"POM121L2"
"PRR14L"
"CHD3"
"MEF2A"
"KCTD20"
"ALOX12"
"DLC1"
"DMXL2"
"ABCA7"
"ATP9A"
"FHL1"
"HECA"
"FAT2"
"GGA3"
"USP47"
"ENSG00000219492"
"KRI1"
"C15orf55"
"PDZRN4"
"SYNJ2"
"GPRASP1"
"TMEM141"
"CCDC144C"
"PRKCI"
"ARSJ"
"TSSK6"
"SMG8"
"PKD1L1"
"HDAC9"
"TMEM143"
"SAMD7"
"LPIN1"
"UNC13A"
"LTBP4"
"AC117834.1"
"CALN1"
"SNCG"
"TRIM49L2"
"C12orf55"
"CHRNB4"
"STRBP"
"OTUD5"
"C1orf111"
"SLC9A1"
"TEX10"
"LRP1B"
"CRIPAK"
"PFN4"
"PDZK1"
"EPB41L3"
"CLPTM1"
"IFI16"
"ABCA13"
"STIM1"
"CTH"
"C11orf66"
"ADCY10"
"KTN1"
"HNRNPK"
"LOC168850"
"PIK3CD"
"C15orf2"
"CNTN3"
"ADAMTS2"
"ANGPT4"
"HSPA12A"
"PSMD14"
"RP11-1220K2.2"
"ZNF839"
"TFPT"
"FAM133A"
"OPA1"
"FBN1"
"ACAP1"
"MAP4K4"
"OTUB1"
"RBM15B"
"UBFD1"
"UPP1"
"PER3"
"PPIP5K2"
"AKAP1"
"DOCK11"
"KAT2B"
"THBS2"
"FAM179B"
"SEMA6B"
"RBFOX1"
"IDH1"
"SMC3"
"TRIP10"
"PREX2"
"ELF5"
"DNAJC6"
"TPPP"
"FLJ14075"
"CHRNB2"
"SPTAN1"
"ANKRD32"
"FGD5"
"ZSWIM5"
"ALPK1"
"MYO18B"
"C14orf37"
"C6"
"BCAR1"
"ARHGEF1"
"MSH3"
"NEO1"
"PTK2B"
"STAT6"
"COL22A1"
"CDK14"
"FAAH"
"SOBP"
"SLC4A4"
"HYDIN"
"SRP19"
"C12orf51"
"GATA2"
"GET4"
"POP1"
"GPSM3"
"GZF1"
"NFKBIZ"
"NUDCD3"
"ROS1"
"KCNA3"
"CCDC37"
"IPO7"
"IER5"
"ZNF568"
"ZNF584"
"CALR"
"FRMD4A"
"IRF6"
"ATP2A2"
"ZNF492"
"ZNF567"
"KIAA1033"
"YPEL5"
"ABCC12"
"BMS1"
"CHPT1"
"ZNF335"
"CCDC75"
"COASY"
"C9orf3"
"Q8N2E2"
"TARSL2"
"ATRX"
"MCART2"
"BNC1"
"FAM194B"
"ALLC"
"LPIN2"
"KCTD18"
"C11orf82"
"CBFA2T2"
"ABCC9"
"KRT78"
"DAZL"
"COL6A1"
"RLTPR"
"SI"
"COL15A1"
"TRIM26"
"NKRF"
"PKD1L3"
"OBFC2A"
"TMCO7"
"SBNO1"
"C14orf21"
"PDE4A"
"CXCR4"
"TXK"
"LRRC16B"
"VPS33A"
"NID2"
"RRM2B"
"ABCA5"
"FOXF2"
"OR5A2"
"HUWE1"
"EML5"
"EP300"
"MED23"
"FZR1"
"IL1R1"
"FASTKD5"
"NAPG"
"TGFBRAP1"
"TNKS"
"TSHZ3"
"RYR1"
"DNHD1"
"ASTE1"
"RAB25"
"GEN1"
"HERC2"
"PLEKHA5"
"LRRIQ1"
"TIAM2"
"FRAS1"
"LDB3"
"ATL1"
"UNC80"
"TRIOBP"
"IL28RA"
"LRRN4"
"DOCK10"
"CBLN1"
"COPS4"
"CD4"
"PDE4DIP"
"SYNGAP1"
"RGP1"
"POLI"
"EIF2A"
"C1orf201"
"NUMB"
"ITGA1"
"TTC39C"
"MRC1L1"
"IQGAP3"
"SMARCA2"
"SLC6A3"
"PRR12"
"DPPA4"
"MUC4"
"ACO1"
"SPATA18"
"DAB2IP"
"TXNRD3"
"ZFHX3"
"LILRB1"
"PCDHGA8"
"CRISPLD1"
"OSBPL1A"
"CACNA1E"
"SMOC2"
"DCHS1"
"PAP2D"
"OVCH2"
"DIDO1"
"PIK3R3"
"ST6GALNAC5"
"DNAH10"
"FBXO18"
"ZNF429"
"BMP1"
"ARHGEF5"
"CYP2R1"
"ZNF689"
"MC3R"
"PTPRJ"
"ZNF518A"
"KIAA1370"
"PCDH1"
"ARPP21"
"SCN9A"
"UBE2F"
"PIGN"
"ATP11A"
"ADCY9"
"GABPB2"
"CELA2B"
"OVGP1"
"NXF1"
"CLIP4"
"LPP"
"DSCAML1"
"LIMCH1"
"MGC99813"
"MUC2"
"GORASP2"
"HIPK2"
"TCERG1"
"RIPK3"
"NACC1"
"ZMYM4"
"KLKB1"
"LPA"
"CDH16"
"SLC12A2"
"UTP20"
"ABCA1"
"SLC38A6"
"NFASC"
"ANKRD30B"
"O75863"
"NRG3"
"PLXND1"
"SEC16A"
"STMN4"
"TBX15"
"LNPEP"
"MUS81"
"TXNRD1"
"Q6ZW54"
"SCN8A"
"OR2AJ1"
"OR2L3"
"CNTN2"
"MUC19"
"IPO9"
"SND1"
"MYH7B"
"FAT3"
"ATP7B"
"ZNRF2"
"PALM2-AKAP2"
"ABCA8"
"KNTC1"
"RALGPS1"
"SIN3A"
"HR"
"NDST2"
"FYB"
"PCDHGA12"
