SEPT6
SEPT9
ABCC4
ABCD3
ACACB
ACAP2
ACSL4
ACVR1C
ADAM32
ADAM9
ADAMTS19
ADAMTS9
ADC
AFAP1-AS1
AFG3L1P
AHNAK2
AK7
AKR1C1
AKR1E2
AKT1S1
AKT2
ALG10
ANKLE1
ANKRD36BP2
ANLN
ANTXR2
APH1A
APLF
APOL6
AREGB
ARHGAP29
ARHGAP5
ARHGDIB
ARHGEF2
ARIH2
ARL17A
ARMCX5
ARSG
ATAD2B
ATP11B
ATP5S
ATP8B3
B3GNT5
BANK1
BAP1
BBX
BCL10
BCL11A
BCL2L11
BEND5
BICD1
BICD2
BLID
BNC1
BRWD1
BRWD3
BTBD19
BTG3
C10orf25
C11orf57
C12orf66
C14orf159
C14orf21
C15orf37
C16orf13
C16orf54
C16orf57
C17orf108
C17orf82
C19orf42
C19orf66
C1orf210
C1orf53
C1orf85
C1orf86
C1S
C20orf197
C20orf201
C21orf58
C2orf15
C2orf18
C5orf22
C5orf46
C5orf56
C6orf141
C6orf170
C7orf63
C8orf47
C8orf59
C9orf30
C9orf66
CACNA1D
CAMTA1
CANT1
CAPRIN2
CARD16
CASKIN1
CBS
CCDC125
CCDC147
CCDC69
CCDC82
CCL5
CCRN4L
CD276
CD44
CD55
CDC25A
CDC42BPB
CDH24
CDKN2AIPNL
CDKN2B-AS1
CDYL2
CELF2
CENPBD1
CENPL
CEP128
CEP19
CFI
CFL1
CHD6
CHPT1
CHRM3
CIB3
CLCC1
CLDND1
CLEC2B
CLTA
CMTM3
CMTM7
CNOT7
CNP
CNTLN
COBL
COG3
COL1A1
CORO6
CP
CRTAC1
CRTAP
CRYBB2P1
CSNK1A1
CTDSPL2
CTNNA1
CTNND1
CXADR
CXorf61
CYB5D1
CYP39A1
CYP4B1
DCD
DDR1
DDX42
DDX51
DDX60L
DENND4A
DGKE
DIP2A
DNAJA3
DNAJA4
DNAJB9
DNAJC7
DNM3
DOK5
DPCD
DPP6
DPY19L4
DPYD
DST
DTD1
DUSP5P
DYNC2LI1
EDIL3
EHBP1L1
EME2
ENAH
EPB41
EPHB3
EPT1
ERC1
ESRRA
ESYT2
ETS1
ETV3
ETV4
EXD2
EXOSC1
FAM122C
FAM124A
FAM195A
FAM40B
FAM76B
FANCM
FBLIM1
FGD6
FGF1
FGFR1OP2
FIGNL1
FLJ13773
FLJ35024
FLJ35934
FLJ39653
FMN2
FN1
FOXC1
FOXN1
FRMD4A
FRYL
FTX
FUT8
GALE
GALNTL4
GAMT
GATS
GCFC1
GGA1
GIN1
GNG12
GNG4
GNRHR2
GOLGA7
GPATCH2
GPNMB
GPR180
GPRIN3
GRHL1
GSC
HDX
HELB
HELQ
HERPUD2
HFE
HGSNAT
HILPDA
HIPK1
HMGA2
HMGCLL1
HNRPDL
HOOK3
HOXD4
HS6ST2
HSDL2
HSH2D
HUNK
IBA57
IFIH1
IFNE
IFT80
IGHE
ITFG1
ITGAL
ITGB1
ITGBL1
KANSL1L
KBTBD6
KCNE4
KCNK15
KDELR1
KDM1A
KDSR
KIAA0090
KIAA1217
KIAA1524
KIAA1908
KIFC3
KLF6
KLF7
KLHL35
KLK8
KRBA2
LACTB
LAPTM4B
LETM2
LINC00052
LINC00460
LINC00476
LINC00525
LINS
LLGL2
LMNA
LMTK3
LOC100127983
LOC100128881
LOC100129129
LOC100129195
LOC100129726
LOC100130776
LOC100131262
LOC100131541
LOC100132356
LOC100133991
LOC100288798
LOC100310756
LOC100506392
LOC100506433
LOC100506497
LOC100506599
LOC100506730
LOC100507117
LOC100507463
LOC100507564
LOC113230
LOC150051
LOC158257
LOC158960
LOC253039
LOC255512
LOC283352
LOC284014
LOC284408
LOC284454
LOC284570
LOC284889
NA
LOC338588
LOC340340
LOC389906
LOC401321
LOC439911
LOC613266
LOC642533
LOC642852
LOC643837
LOC644242
LOC645722
LOC727916
LOC729678
LOC730755
LOC84989
LPP
LRRC28
LRRC41
LRRC8C
LSM14B
LYZ
MACF1
MACROD2
MAD2L1
MAN1A2
MANEA
MAP4K4
MAPK1
MAST4
MBNL1
MBNL2
MBP
MCCC2
MCM9
MDFIC
MEF2BNB
MEIS1
METTL19
METTL21A
METTL6
MFAP3
MGC11082
MGC16142
MGC21881
MICALL2
MIER1
MIER3
MINA
MIR31HG
MKL1
MKLN1
MKS1
MMEL1
MOXD1
MPHOSPH6
MSI2
MSRB3
MUC20
MUCL1
MYCBP2
MYO16
NAMPT
NAP1L1
NAP1L4
NAV3
NBPF4
NDST1
NDST2
NEK8
NEXN
NFS1
NFX1
NIPA1
NLGN4X
NLRX1
NMNAT2
NOX5
NPB
NTN5
NUDT17
OSGIN2
OSMR
PACSIN2
PAK6
PALM2
PAPD4
PBLD
PCBD2
PCNP
PDE4D
PDE8A
PDZK1IP1
PEX13
PHF20L1
PHF23
PHLDB3
PIF1
PIGW
PIGX
PIK3AP1
PLCXD2
PLD1
PLXNA3
PLXNA4
PMS1
POF1B
POLE4
POLK
POLR2J2
POSTN
PPP2R5C
PRDX5
PRKAB2
PRKD3
PROM2
PRR14
PRR16
PRR5L
PRRT3
PRUNE2
PSIP1
PSMD6
PTBP2
PTCH1
PTGFR
PTGS2
PTK2
PTPRM
PTRF
PVT1
PXK
QKI
RAB34
RAD21-AS1
RAF1
RAPH1
RARS2
RASAL2
RASEF
RASSF5
RBAK
RBBP6
RBM14
RBM25
RBM8A
RDH13
RECK
RECQL4
RECQL5
RFFL
RGNEF
RHBDL2
RHEBL1
RHOB
RHOQ
RHOXF1
RIMS1
RMND1
RNF165
RNF207
RPL32P3
RSRC1
SAMHD1
SAMSN1
SAR1B
SEC62
SEMA6A
SENP1
SENP8
SEPW1
SETD6
SH3D19
SH3KBP1
SHB
SIPA1L2
SLC16A1
SLC19A1
SLC25A27
SLC25A43
SLC2A11
SLC2A4RG
SLC39A6
SLC44A5
SLC5A3
SLC9A7
SLFN13
SLFN5
SMCHD1
SNAPC5
SNORA43
SNRPN
SNX25
SOX3
SPAG17
SPATA13
SPATA17
SPEF2
SQLE
SRGAP1
SRGN
SRRM2
ST7L
STAP1
STOML3
STOX1
STRADA
STX6
STXBP3
SUPT6H
SYDE2
SYNCRIP
SYNJ2
SYNRG
SYT14
SYTL5
TACC1
TAF5L
TAGLN
TARDBP
TBC1D12
TC2N
TDH
TEAD1
TGOLN2
THEM4
THRA
TIGD1
TIPRL
TLCD2
TLR4
TM2D3
TMED4
TMEM17
TMEM171
TMEM184A
TMEM185A
TMTC4
TMX3
TNRC6B
TPTE2P2
TRAM2
TRAPPC10
TRIB3
TRIM37
TRIM4
TRIOBP
TRNT1
TSEN54
TTBK2
TTC39C
TTLL12
TYMS
UACA
UBA7
UBE2G2
UBR5
UCHL1
UHMK1
ULK2
USP28
USP31
VHL
VIM
VPS13B
VPS37C
VPS8
VTI1A
WDFY2
WDR37
WDR67
WFS1
WTAP
WWC2
XG
XRN1
YEATS2
ZAK
ZBED1
ZBTB1
ZBTB38
ZBTB44
ZCCHC10
ZCCHC7
ZFP82
ZFYVE16
ZHX2
ZKSCAN1
ZMAT3
ZMYND11
ZNF101
ZNF114
ZNF12
ZNF207
ZNF252
ZNF254
ZNF264
ZNF317
ZNF382
ZNF441
ZNF485
ZNF512
ZNF548
ZNF564
ZNF569
ZNF57
ZNF572
ZNF583
ZNF585B
ZNF621
ZNF644
ZNF655
ZNF677
ZNF765
ZNF778
ZNF785
ZNF787
ZNF789
ZNF791
ZNF814
