"OVCH1"
"FCRL3"
"BMS1"
"OLFM1"
"FRRS1"
"GPR32"
"JOSD2"
"DENND4B"
"VPS39"
"ARSH"
"KRTAP10-3"
"SEZ6L"
"SLC30A8"
"SLITRK1"
"HAL"
"PKN3"
"PUS7L"
"KIAA1804"
"CCDC62"
"CNTNAP2"
"Q8NH80"
"AMPH"
"ARHGEF40"
"FTCD"
"DDX26B"
"CHRNA9"
"GABRA2"
"ITIH5L"
"TTBK2"
"DOCK7"
"C6orf192"
"ZNF83"
"Q96MZ3"
"TTC17"
"CHN2"
"NEK11"
"IMPG2"
"ARMC1"
"SPTBN5"
"TSHZ1"
"CSMD3"
"LOC442444"
"TTN"
"DUOXA2"
"C17orf56"
"OR6N2"
"OR10W1"
"HRNR"
"OR8H3"
"USP24"
"CA1"
"CLEC4D"
"MADD"
"ATP8A2"
"PERP"
"ARF6"
"HOXA4"
"PKD1L3"
"SETBP1"
"ARMC9"
"THBS2"
"C12orf40"
"CALB1"
"AVPR2"
"ACACB"
"PIK3C2G"
"IGHMBP2"
"NLRP10"
"COL5A2"
"CAPN8"
"COL22A1"
"ALAS2"
"OTOP1"
"COL15A1"
"BCLAF1"
"OR2T1"
"PCDH9"
"OR4K15"
"FBN1"
"ANK2"
"CNBD1"
"PDE11A"
"OBSCN"
"CCDC135"
"GPRC6A"
"CCDC102B"
"PM20D1"
"TRHR"
"UGT3A2"
"ZNF732"
"OR51L1"
"ARID4A"
"HCN1"
"RAD54B"
"OR51V1"
"ADAM19"
"MTTP"
"PLA2R1"
"CFB"
"PRKCSH"
"ZNF642"
"OR8B3"
"ZNF527"
"RIMBP2"
"PIK3C3"
"GYS1"
"TRPC1"
"RPS6KA2"
"PRSS2"
"THOC5"
"ABCC1"
"DISC1"
"SPEF2"
"UGP2"
"STEAP1B"
"VPS11"
"MYO19"
"TG"
"LGI1"
"ROCK1"
"ZNF782"
"OR51A4"
"TP53"
"NALCN"
"OR4C16"
"NOS1AP"
"ROBO1"
"TCTN3"
"DYNC1I1"
"MIA3"
"PSMD14"
"SLC25A2"
"TMPRSS5"
"COG2"
"SLX4"
"LARP4"
"ZFP42"
"FHAD1"
"NEFM"
"ENSG00000121031"
"TDRD5"
"C18orf62"
"INPPL1"
"MAGEC1"
"ZFYVE28"
"MED20"
"ABCC12"
"ERMAP"
"SBF2"
"SCN9A"
"SALL2"
"GGT7"
"TBC1D21"
"SLC25A24"
"CFHR4"
"WDFY4"
"GFPT1"
"OR2T12"
"SPOCK3"
"EXTL3"
"SLC17A9"
"ASB17"
"XIRP2"
"GOLGA8J"
"CNTNAP5"
"MS4A6E"
"DPM1"
"NF1"
"FAM65A"
"ACAN"
"ENSG00000215407"
"DISP1"
"MRGPRE"
"SP140"
"KIF26B"
"NCAN"
"PZP"
"CHRNA7"
"ISL1"
"LGI4"
"TACR3"
"HPX"
"LRP2"
"TUBGCP5"
"PCDH7"
"OR51B4"
"TXNRD1"
"MPEG1"
"EHMT1"
"LCE3D"
"CSMD2"
"ZC3H11A"
"CASP8AP2"
"PCDH10"
"NRG4"
"SEMG2"
"LRRC49"
"PNPLA1"
"UGT8"
"TUBA3C"
"Q8N1G8"
"SFSWAP"
"ITGA1"
"CNTLN"
"HERC1"
"ZSWIM1"
"FANCF"
"OR2L3"
"APP"
"CCDC14"
"EVC2"
"ABCA10"
"HHIPL2"
"ARL4P"
"KCNT2"
"THSD7B"
"FZD10"
"CDC14B"
"GABRG3"
"ART3"
"PPP2R2C"
"CD1B"
"OR11L1"
"THRAP3"
"SEMA5A"
"NDRG3"
"MUC12"
"HTR4"
"NHS"
"SLC39A11"
"UGGT1"
"ENSG00000188219"
"DDX5"
"KIF6"
"SALL4"
"USP28"
"MAB21L3"
"F2RL2"
"C11orf65"
"HSD17B7"
"AC010872_2"
"DMBX1"
"LATS1"
"OR7A10"
"PCDH20"
"F11"
"PLCH2"
"HIST2H2BF"
"SELP"
"DNAH11"
"DYNC1H1"
"TECRL"
