"ATAD5"
"ODZ4"
"MYO18B"
"ZNF92"
"MARCH10"
"MUC16"
"PGS1"
"MLL2"
"ABHD14A"
"LRIG2"
"PHF2"
"GABRA5"
"AC142381_2"
"ATP2B4"
"SLC34A1"
"TGM4"
"VARS2"
"TBC1D24"
"PALM2-AKAP2"
"MFAP4"
"GALNT10"
"TAS1R2"
"OR2T6"
"OR51A4"
"CRAT"
"ACBD6"
"VIT"
"NID1"
"SEC14L5"
"CXCR5"
"HAO2"
"ZMYM5"
"NUPR1"
"EZH2"
"PIWIL3"
"ADAM28"
"ITGB3"
"APOBEC2"
"FAM86B1"
"LRP1B"
"MEGF8"
"LOXL2"
"ZNF675"
"PSMC3IP"
"MAGEB10"
"SLC38A10"
"TP53"
"ATN1"
"MNAT1"
"ZNF98"
"DSG3"
"CTIF"
"LILRA1"
"CSMD1"
"ZNF434"
"NPAS2"
"SRRM4"
"LINGO3"
"FNIP1"
"RPH3A"
"CDH23"
"ALK"
"EZH1"
"EYA2"
"C15orf63"
"KCNA6"
"NEURL4"
"BMPR1B"
"PIK3CG"
"SLC5A6"
"ENSG00000091436"
"WNK1"
"BBX"
"SEMA4B"
"SG269"
"USH1C"
"G2E3"
"CTSL1"
"CNBD1"
"STK11IP"
"GNA15"
"GTF3C1"
"CTC1"
"PPP1R7"
"MUC4"
"SAMD7"
"ZNF521"
"MON2"
"DNAH6"
"ALMS1"
"COL1A1"
"AGBL4"
"NHSL2"
"TCN1"
"HCAR1"
"CSMD3"
"RBPMS2"
"CEP112"
"TPTE"
"SKOR2"
"PKHD1L1"
"SHROOM3"
"ADAMTS12"
"ATP5I"
"TPTE2"
"NKAIN3"
"LY75"
"LRFN2"
"MCM8"
"CEP89"
"MKI67IP"
"KIAA1549"
"SELL"
"CPNE6"
"SYCP2"
"PLA2R1"
"NEGR1"
"BSN"
"TOMM40"
"TTN"
"WDTC1"
"CPAMD8"
"RAPH1"
"SLC8A3"
"INPP5F"
"ZBP1"
"CEACAM18"
"EPB41L3"
"DNA2"
"KIF21B"
"ZNF117"
"PSG5"
"ZNF717"
"SLC25A27"
"PRRX1"
"MAP3K4"
"FUT3"
"CAMSAP1"
"GABBR2"
"HSD17B2"
"DSCAML1"
"PLEKHH1"
"DDX3X"
"CCDC8"
"MUC5B"
"POTEG"
"KDM5B"
"AC087645.1"
"OR51A2"
"CNTD1"
"UNC13B"
"LRRC42"
"ZFHX2"
"COL11A1"
"ATP2A3"
"CEP290"
"GDPD4"
"DNAH9"
"ARHGAP22"
"BRAF"
"GALNT9"
"PRPF19"
"MAPKBP1"
"CTAGE1"
"KANK2"
"ALG12"
"CA5B"
"OR1S1"
"SCN3A"
"TTI1"
"NLGN1"
"UBE2L6"
"LAMC1"
"PKP1"
"CARKD"
"VIPR2"
"MMP2"
"PTPRB"
"C7"
"SYT16"
"OPN5"
"LTN1"
"SPEG"
"DENND2D"
"GCNT3"
"DDX11"
"AP4B1"
"SLC4A8"
"PLIN4"
"CADM2"
"TRO"
"ARHGAP17"
"DLD"
"SDS"
"PTPRG"
"ZFHX4"
"ABCG8"
"APC"
"SLCO5A1"
"KRTAP10-4"
"PPP1R13B"
"BLM"
"MARVELD3"
"NMBR"
"OS9"
"DPPA4"
"PTPRF"
"TAS2R38"
"PCDHGB1"
"AC091801.1"
"DEFB124"
"TIAM2"
"TRAP1"
"PLXNA1"
"MCM2"
"PGC"
"PRDM5"
"TNK2"
"AMPD1"
"MRPL9"
"ARID5A"
"COL6A6"
"CLEC4F"
"MYO15A"
"BAI3"
"C9orf5"
"AP3B2"
"GSG2"
"AFM"
"SNCG"
"XYLT1"
"BAHCC1"
"C9orf131"
"OBSCN"
"UNC5A"
"HR"
"SNX17"
"CDH17"
"XIRP2"
"MYO1F"
"MFSD12"
"TCF12"
"SYNJ2"
"MAP1A"
"ERMP1"
"OR2A7"
"FAM113B"
"MDC1"
"C2orf71"
"EPB41L5"
"UBAP2L"
"CDKN2A"
"ARAP2"
"C6orf221"
"DAAM1"
"SLC24A4"
"TRAK2"
"MYO3A"
"KRTAP20-3"
"PKHD1"
"OR1A1"
"GDF5"
"OR1B1"
"ZNF500"
"TRPS1"
"AP3M2"
"CLASP2"
"NOSIP"
"THSD7B"
"LPAR3"
"SLC2A11"
"TCF4"
"ADCK3"
"BMP3"
"SENP5"
"PDIA6"
"CROCC"
"NKD1"
"OSBPL8"
"HAL"
"DYNC2H1"
"C14orf37"
"ZBTB40"
"CHST9"
"ARHGEF15"
"FICD"
"TTC18"
"ITGA2B"
"PLXNA4"
"PLEKHH3"
"HECTD2"
"RBM47"
"COMP"
"TTPAL"
"KRT28"
"TTLL8"
"FRMPD4"
"ZFP1"
"NUDT13"
"SERPINB2"
"OR10J5"
"HEATR3"
"CR1"
"TPR"
"CALCR"
"SHARPIN"
"MYOZ2"
"TRIM62"
"TSPAN32"
"TUBB1"
"C9"
"CACNA1I"
"RP1"
"BAZ1A"
"EGFLAM"
"PRH2"
"NEK10"
"PSMD1"
"BCAN"
"NBEAL2"
"SCN10A"
"HS3ST2"
"EIF2B3"
"UBN1"
"DSCAM"
"FAM131A"
"SCN11A"
"PFKFB4"
"LGI3"
"CYP11B2"
"NRAS"
"C12orf51"
"OR4M2"
"HUWE1"
"ITPR2"
"FMN2"
"CRYBG3"
"GNPTAB"
"AC136604.1"
"PRPF40B"
"THSD1"
"STON2"
"PIK3C3"
"CAGE1"
"TSHZ1"
"DET1"
"C10orf88"
"ZBTB33"
"HSPG2"
"C10orf112"
"TTC9C"
"ST6GALNAC4"
"KCNQ2"
"CAP2"
"ZFYVE16"
"TPX2"
"DNAH5"
"OLFML2B"
"ATXN2"
"RABEP1"
"STAM2"
"PUF60"
"SPANXC"
"ROBO2"
"GPC5"
"VCAM1"
"ZNF548"
"SPEN"
"KCNJ10"
"TFDP3"
"TDG"
"HDHD2"
"ZNF724P"
"TFEC"
"MGAT4C"
"PLSCR5"
"C2orf65"
"PSMC3"
"MYOCD"
"DMD"
"TRAK1"
"PCIF1"
"C9orf102"
"ARMCX1"
"OR6C65"
"Q5JXA8"
"GLUL"
"MYO16"
"TMEM232"
"RBMS1"
"UGT1A5"
"SMC1B"
"NNMT"
"LLGL2"
"CGNL1"
"C9orf153"
"B4GALT7"
"BRSK2"
"ZNF554"
"AC079354.1"
"OR4K13"
"PHF1"
"POT1"
"WWC3"
"FAM151A"
"POLR2A"
"TMPRSS11B"
"Q9NT31"
"ARHGAP28"
"TMEM131"
"MYST3"
"PCDHB12"
"RFX6"
"MYO18A"
"ARGLU1"
"LTBP2"
"OR6C1"
"HMCN1"
