"ZNF407"
"PCDHA7"
"LRRC7"
"GPR158"
"JMJD7-PLA2G4B"
"TUBB8"
"SMPD2"
"ITIH3"
"RBM25"
"C19orf29"
"TRIM64B"
"PCDHGB2"
"BCL9L"
"GLB1L"
"TFCP2"
"FOXN4"
"C10orf12"
"FREM2"
"DMGDH"
"FBXO34"
"CEP68"
"CDC23"
"JPH3"
"USP12"
"EPHB4"
"GOLGA5"
"SLC7A3"
"DZIP1L"
"HOXD10"
"AGBL1"
"ZFP14"
"PKLR"
"ABCA8"
"C1orf168"
"VDAC1"
"ANKRD44"
"MYBPC2"
"ARMC5"
"PEX12"
"ZBTB32"
"FBP1"
"CAMTA1"
"MYH6"
"EGR2"
"TTC14"
"KCNQ2"
"PLXNA4"
"TRIM24"
"VCAN"
"MARS"
"ARHGAP4"
"TGM6"
"BRAF"
"SFTPB"
"PRAMEF12"
"DMD"
"PGM2"
"GTPBP4"
"ZNF443"
"OR9Q1"
"TAF6"
"TEX11"
"FCAR"
"TTN"
"CXorf21"
"KIAA1586"
"NPC1L1"
"SLC26A4"
"LRRC4C"
"SHCBP1"
"CHD6"
"DISP1"
"TMEM132E"
"DAZAP2"
"ESPN"
"MST1R"
"AUTS2"
"SLC39A10"
"FCRL4"
"EFNA4"
"SALL4"
"CFHR4"
"CYP11A1"
"OR6B2"
"POLN"
"ACACB"
"ERI2"
"MX1"
"SERPINA7"
"PRDM16"
"KIF26B"
"TRPC4"
"ELK3"
"BFSP2"
"TACR3"
"ETV6"
"JSRP1"
"RBPMS2"
"RLTPR"
"SLC13A1"
"LOC165186"
"BCAP29"
"SIN3A"
"CTDSPL"
"MLL3"
"ALX1"
"HSPA9"
"EDNRB"
"ZNF423"
"NHS"
"MAML3"
"WDR65"
"O60374"
"IGSF1"
"NCKAP5"
"GTF2IRD2B"
"PCDHB10"
"PIK3CA"
"CALN1"
"SKIV2L"
"C5orf54"
"NEB"
"OR1S1"
"MCM7"
"KIF17"
"ZIM2"
"WDR17"
"PACRG"
"MUC12"
"C6orf138"
"THSD4"
"APC"
"LENG8"
"TTC18"
"ACAN"
"RERGL"
"ZNF317"
"WDR72"
"HYDIN"
"CPT1A"
"VPS53"
"NEFM"
"DLD"
"HIST3H2BB"
"PCDHB4"
"PZP"
"CRYBG3"
"PHYH"
"SCN10A"
"OPN1LW"
"LRIT2"
"ZNF546"
"CCDC120"
"ARMCX2"
"ABCG4"
"C1orf87"
"FANCM"
"FSD2"
"ITSN1"
"XYLT1"
"ANKRD60"
"HEPHL1"
"USP42"
"DMXL1"
"FAM188A"
"UTRN"
"CSN3"
"KIAA1324L"
"MMP9"
"TMEM8B"
"AC010872_2"
"DNAJB2"
"EPHB1"
"SLFN11"
"TSNAXIP1"
"CYB5R4"
"FBXO40"
"IPO8"
"SLC39A12"
"TRAF3IP2"
"FGA"
"RUSC1"
"ITGBL1"
"NOBOX"
"DPY19L4"
"PROM2"
"COL6A6"
"LHX9"
"MUC16"
"POLQ"
"C10orf96"
"ADAMTS5"
"CYP2B6"
"C1orf123"
"GRIK1"
"OR2D2"
"NUP205"
"WDR76"
"OR6N2"
"SACS"
"C9orf125"
"LRRC37A3"
"ZC3H7B"
"IFT122"
"BMP3"
"DNAH9"
"UFC1"
"HSPA12A"
"WDR87"
"ATF7IP2"
"COL4A1"
"ARHGEF6"
"NKD2"
"ZNF433"
"HAO1"
"PCDH10"
"GJA10"
"UHRF1BP1"
"FOXP3"
"ANKRD30B"
"IQCA1"
"OPRL1"
"CHUK"
"GLOD5"
"USH2A"
"KLF5"
"FASTKD5"
"ITGA7"
"FLJ90650"
"GAGE10"
"PXK"
"ADAMTS6"
"PER3"
"ADRBK2"
"XAB2"
"PCGF6"
"BRD3"
"TRIM41"
"ARPC1A"
"CD36"
"PTPRG"
"C11orf82"
"CA11"
"ENPP6"
"KCNN3"
"SPG11"
"MTTP"
"DYRK3"
"FAM133A"
"GGT7"
"Q8N997"
"PCDH12"
"CCDC117"
"C2orf74"
"ALKBH8"
"C9orf150"
"RHO"
"NAE1"
"KIAA1841"
"TANC1"
"TECTA"
"CLUAP1"
"DUOXA1"
"HSD17B12"
"ZNF282"
"SLC34A1"
"CHD9"
"NPSR1"
"SYPL1"
"LRP5L"
"PDE1B"
"STAP1"
"EVC"
"ASXL3"
"HLCS"
"APOA4"
"TMC8"
"HUWE1"
"RGS19"
"CD200R1"
"LRRIQ4"
"PDZD2"
"C7orf30"
"ZNF253"
"RNF113B"
"OR8B3"
"C19orf18"
"LPHN3"
"TLL1"
"CDC42BPB"
"SOAT1"
"SMAD4"
"DENND2D"
"MAGEB3"
"DNAH5"
"FAM35A"
"NLRP12"
"KHK"
"MEF2C"
"TP53"
"ZFHX3"
"TMEM81"
"RNF212"
"DLX6"
"WRN"
"Q8NGM0"
"ZKSCAN1"
"ATP1A2"
"MXRA5"
"ZNF804A"
"COG1"
"LUZP2"
"PTPRM"
