"ZNF513"
"CCNYL2"
"TAF15"
"C3orf67"
"MGAM"
"LRP2"
"SLC35F5"
"IRS4"
"CHI3L1"
"GTF3C3"
"PCDHB18"
"CPNE5"
"GSG2"
"CHST8"
"DEPDC1B"
"KIAA1244"
"POTEJ"
"ERC1"
"RBMXL2"
"Q8NH47"
"FN1"
"PHRF1"
"TAF5"
"CSRNP2"
"CHIA"
"PIK3CA"
"NCOA3"
"AK7"
"MYO10"
"WNK1"
"SND1"
"OR2B3"
"KIAA1539"
"CSPP1"
"NBEA"
"FMN1"
"SCAF4"
"PCDHGC5"
"C12orf11"
"SMC1B"
"TMEM175"
"DCTPP1"
"UBE4B"
"KIAA1715"
"NBEAL1"
"OR2W1"
"ENSG00000185034"
"GYG1"
"PCYOX1L"
"CUL4B"
"CLCN7"
"RP3-402G11_5"
"TEDDM1"
"FMN2"
"AQR"
"ACOT11"
"FAM131A"
"ALPK1"
"TOR2A"
"KIAA0195"
"AHSA1"
"SIK1"
"SLC12A2"
"GBP6"
"C11orf57"
"ZNF30"
"YIF1A"
"KLHDC7B"
"OR4K15"
"CPNE8"
"ASB13"
"CBX8"
"DBH"
"THOC1"
"ZNF354A"
"RBM47"
"BAZ2B"
"GPR34"
"IQCE"
"CHORDC1"
"OR2L3"
"ITGA8"
"ZP2"
"KIAA1671"
"FKBP10"
"RASAL3"
"FMR1"
"TP53"
"PCDHA6"
"MANBA"
"POU3F1"
"COL11A1"
"OR51L1"
"FBLN5"
"DNAH12"
"C17orf53"
"LPIN2"
"CDAN1"
"HTR5A"
"TMSB10"
"UNC50"
"MALT1"
"MEF2D"
"CKAP2"
"NXF3"
"GALNT7"
"ATM"
"SG223"
"MICB"
"GRAMD1B"
"C1orf21"
"PHIP"
"ZC3H7B"
"SELENBP1"
"ZNF692"
"NUDT22"
"PCDHB7"
"MAGI1"
"GSDMA"
"KRTAP4-1"
"ONECUT2"
"BVES"
"TNNI2"
"KLHDC4"
"CCS"
"ARMC9"
"STRA6"
"PIM1"
"CC2D1B"
"FBXL6"
"MBD2"
"EP300"
"KALRN"
"BCO2"
"PRRT2"
"KIAA1267"
"ADCK2"
"ZFHX3"
"ILVBL"
"NEB"
"MACF1"
"CHUK"
"KIAA1161"
"ENC1"
"CCDC87"
"RANBP3L"
"CSMD3"
"LIMK2"
"CCDC39"
"PI4KA"
"MTMR2"
"KLHL26"
"DOCK2"
"CENPE"
"DHX38"
"RYR2"
"DROSHA"
"CCDC19"
"RPTOR"
"WDR35"
"TCEANC2"
"MIA3"
"CR1L"
"NFATC3"
"MRAP2"
"ANK3"
"FAM118B"
"C21orf91"
"NT5DC2"
"ANKRD18B"
"TSSC1"
"DUSP7"
"ADAMTS6"
"HEATR8"
"FTSJ3"
"TBCCD1"
"ALKBH7"
"C14orf43"
"MVK"
"ARID5A"
"RNASEL"
"ASB17"
"ORC2"
"ZBTB17"
"FSIP2"
"IL17RB"
"CHFR"
"HNRPDL"
"KIAA0090"
"PPP1R3A"
"NCOA1"
"TRANK1"
"HYDIN"
"ADRA2A"
"USP20"
"MAGEA3"
"ARHGEF11"
"ANGPT1"
"FZD3"
"CA3"
"LOC442444"
"NF1"
"DNAAF1"
"KCNA2"
"NADSYN1"
"DNAH7"
"NUP160"
"MARCH3"
"NHS"
"C12orf51"
"NEK3"
"ZNF610"
"CHRDL1"
"AIFM2"
"PIGR"
"ZNF337"
"ALAS2"
"POLD1"
"FMO3"
"IL1RAPL1"
"TDP1"
"MUC19"
"NUP54"
"PPFIBP2"
"SLC6A6"
"SMG7"
"CEP290"
"TREML2"
"PHEX"
"ACSM2A"
"BCL11B"
"HIC2"
"APC"
"WWP2"
"CACNG8"
"TBC1D17"
"MAGEC3"
"RAMP1"
"NKX2-1"
"DISP1"
"FLT3"
"ABCA1"
"SLC2A5"
"ARAP2"
"PYCARD"
"IL1RL2"
"ZNF233"
"RAB3IP"
"DNAH9"
"LOXHD1"
"FLG"
"DNAH5"
"LIM2"
"KCND2"
"KRTAP13-4"
"PDE6A"
"ADARB2"
"OR4A13P"
"C11orf30"
"PHF3"
"C6orf222"
"FBLN2"
"HS3ST3A1"
"PFKP"
"MOCS1"
"C3orf23"
"OR5AC2"
"PIGN"
"SAFB"
"ABCC4"
"IRGQ"
"C6orf170"
"PNRC1"
"ARHGAP40"
"ZNF726"
"CLIP3"
"APLF"
"PTGER4"
"VAT1L"
"TRIB2"
"USP33"
"UBR1"
"CRYM"
"ABCD1"
"LINC00470"
"GPR87"
"CLPTM1L"
"HAS3"
"CTU2"
"MPP3"
"ATXN1"
"JMJD5"
"ANKFN1"
"SART3"
"ATF6"
"FANK1"
"HSF1"
"PPFIA4"
"CDX2"
"DSCAM"
"KPNB1"
"ATOH1"
"PHF20L1"
"TRPA1"
"ODZ4"
"PLP1"
"DPCD"
"ZNF574"
"ZNF831"
"DTX1"
"UBTF"
"ZMYM6"
"NCAM1"
"LRFN1"
"FBXW7"
"MSLN"
"ZNF77"
"HCN4"
"BAAT"
"TMEM185A"
"ZFYVE1"
"TOPBP1"
"AP4B1"
"SLC18A1"
"DOCK10"
"LALBA"
"CEACAM1"
"ABCA8"
"RASGRF1"
"SF1"
"CPSF1"
"TBC1D9"
"FRMPD3"
"C6orf138"
"ARMCX1"
"MYH11"
"VIPAR"
"NPHP4"
"DSC2"
"EIF2S3L"
"NOTCH2"
"TLR10"
"ZNF697"
"ROS1"
"TP53TG5"
"USP26"
"TM9SF1"
"EPPK1"
"ARHGEF26"
"ARID1A"
"RNH1"
"KIDINS220"
"SALL3"
"AGPAT2"
"GAL3ST4"
"ARC"
"SYNPO2L"
"WRNIP1"
"TP63"
"ASCC3"
"TCF7L2"
"FAT2"
"ASPRV1"
"PHF20"
"OR12D2"
"EEF1A2"
"SLC24A3"
"SCN1A"
"SLC12A9"
"Q8N7N2"
"PPFIA2"
"GRIK1"
"FAM135A"
"FRMD7"
"HAS2"
"TUFM"
"PSMC2"
"TYK2"
"TNS1"
"PRRC2B"
"CTDP1"
"MCAM"
"SENP6"
"ZBTB22"
"C20orf107"
"C7orf70"
"PCYT2"
"B4GALNT2"
"MED13L"
"HOMER1"
"TSHZ3"
"HOXB2"
"TNFSF11"
"ATF7IP"
"TIGD7"
"ING1"
"C10orf47"
"INSRR"
"PPFIBP1"
"MASTL"
"EEF1G"
"SMARCC1"
