"RBM12B-AS1"
"IGF2BP2"
"HIVEP2"
"DHX32"
"NLRP10"
"ARHGAP6"
"LILRB1"
"CSNK1E"
"WDR13"
"TTF2"
"DUSP27"
"PCDHA8"
"PIGC"
"HCN3"
"OR5T2"
"COL25A1"
"CREBBP"
"DEPDC1B"
"HEPH"
"FSTL5"
"TP53"
"ADAMTS7"
"RELN"
"PCDHG_cluster"
"PRODH2"
"SEPT1"
"GABRQ"
"MSR1"
"RUSC2"
"FTMT"
"SLC6A19"
"FGFR4"
"SLC6A2"
"LRFN2"
"KIAA0391"
"OR2A2"
"OTC"
"KRAS"
"CAMSAP1L1"
"SPATA19"
"STK11"
"ILF3"
"RGL1"
"CYP24A1"
"ZFP82"
"LRRC15"
"TSPAN18"
"XIRP1"
"FOLH1B"
"JRKL"
"OR10X1"
"DYM"
"OR11H12"
"PDE10A"
"GPR183"
"PBXIP1"
"GPC5"
"PRDM7"
"SLC4A2"
"GPA33"
"TMEM187"
"ZNF331"
"MGAT5B"
"CDH10"
"AMAC1"
"SLC22A25"
"SV2A"
"ANKRD30A"
"PCDHB12"
"DSG1"
"SEMA5A"
"KCTD8"
"SCAF11"
"DIAPH2"
"MYO1B"
"HSPA8"
"IKZF2"
"KIAA0528"
"TM9SF1"
"CDH1"
"ZNF251"
"PIK3C2G"
"ALS2CL"
"TMEM164"
"PI4K2A"
"SPTBN5"
"GPR141"
"GLIS3"
"MCMBP"
"LRRC32"
"TRIP13"
"ODZ3"
"LINS"
"OR5T3"
"GRM6"
"COL6A2"
"COL28A1"
"CDKL5"
"PARP1"
"TREM1"
"C17orf77"
"IGSF21"
"STAG3"
"SESN2"
"KLHDC2"
"PCDHA1"
"RASL10B"
"ANAPC1"
"UBR4"
"RP1L1"
"RNF111"
"ZNF345"
