"HCRTR1"
"KALRN"
"NUP210"
"FOXN4"
"MTRF1L"
"KPTN"
"ZFYVE26"
"MC1R"
"NUP153"
"SNX31"
"ABCA9"
"THRAP3"
"PCDHB10"
"MELK"
"LRP5L"
"SPEN"
"SMAD4"
"Q96HF5"
"AMMECR1L"
"TRAF1"
"OR2T1"
"KIF5C"
"OBSCN"
"ADAMTSL2"
"ZEB2"
"GPR153"
"PDE4DIP"
"TXLNG"
"TGS1"
"CCAR1"
"DCAF4L2"
"NEK4"
"STARD13"
"GRIK3"
"LCA5"
"TMEM132D"
"SYCP2L"
"DLGAP2"
"EYS"
"DNER"
"RETSAT"
"C7orf42"
"LRP3"
"POLR3E"
"HUNK"
"LRGUK"
"CDC40"
"RGS3"
"FGA"
"MUC16"
"PCDHB18"
"CPSF4"
"MSRA"
"CELSR3"
"NOSIP"
"PDE1C"
"MMRN2"
"CR1"
"FAH"
"IPO11"
"ZNF280B"
"CPNE3"
"UBR4"
"FAM193A"
"POTEJ"
"SLC12A8"
"EPHB6"
"COX8C"
"APOB"
"MYLK"
"PLS3"
"ZNF804B"
"CHRM2"
"KIAA1671"
"MED28"
"TAAR2"
"BRAF"
"OXA1L"
"SHANK1"
"MED8"
"SIK2"
"ATP8B2"
"IQCC"
"NRG2"
"COL6A6"
"AKNAD1"
"E2F2"
"KIAA1107"
"RASL11B"
"COX5A"
"GALNT7"
"MAML1"
"CSMD3"
"RP11-389E17.1"
"FARP2"
"OR4C12"
"CDKN2A"
"IFI27L2"
"PRKCG"
"BPNT1"
"SH3TC2"
"KLK13"
"BCOR"
"AGMO"
"BCR"
"CRHBP"
"ANK2"
"PCDHB5"
"CDH16"
"NOX3"
"ANKRD26"
"EPC1"
"MLKL"
"VRTN"
"ST6GALNAC1"
"RYR2"
"FTMT"
"MUC17"
"RHBG"
"INTS5"
"IFIT1"
"ADCY8"
"SBF2"
"CEP290"
"MAMDC4"
"HIVEP3"
"NACAD"
"PIF1"
"SYT15"
"VWF"
"SHKBP1"
"SLC5A9"
"SETD1B"
"FBXW11"
"DDO"
"C12orf50"
"FBN2"
"CGN"
"AHNAK2"
"KIAA1958"
"FGFR4"
"LILRA6"
"EYA1"
"TNKS2"
"IL31RA"
"OR4A13P"
"CPO"
"ALDH1L1"
"TP53"
"TTN"
"EPS8L3"
"DOCK2"
"LAMA3"
"METAP1D"
"CPT1C"
"VPS13D"
"ACSF3"
"KIR2DL1"
"ABCC6"
"SIX6"
"ABCG5"
"KIDINS220"
"TMTC4"
"PTK7"
"GATC"
"KIAA0317"
"PKD1"
"UTP20"
"C11orf41"
"STX16"
"KIAA0889"
"TMPRSS11F"
"FAM25A"
"COL6A2"
"EDEM3"
"SC5DL"
"OR1L3"
"RBP3"
"CARD14"
"CRISPLD1"
"AFF4"
