"INTS1"
"FLG2"
"WBSCR17"
"CBR1"
"CWH43"
"ADAM18"
"INHBE"
"LNPEP"
"KCNH5"
"ILDR2"
"SPRR2F"
"PCDHB14"
"MUC2"
"FCGBP"
"ITGAM"
"ZFPM2"
"RP11-571M6.6"
"ATM"
"ZRANB3"
"SIGLEC5"
"CHIA"
"AGTPBP1"
"SLC5A11"
"AP1G1"
"NRP2"
"CALCRL"
"VIT"
"FAM9B"
"PROS1"
"SPANXC"
"IGSF1"
"GTDC1"
"DCHS2"
"KRT1"
"FAM123C"
"NBPF10"
"ANKRD30B"
"C2orf71"
"PDE1A"
"PLXNA4"
"ABCA1"
"APOB"
"SRP54"
"SGCD"
"SLC2A2"
"HIVEP2"
"MYH8"
"OR14C36"
"ENSG00000215407"
"DDX31"
"C11orf70"
"FLAD1"
"SPINK5"
"CRYGA"
"EYA4"
"NEB"
"STXBP5L"
"INPP4B"
"AOC3"
"ROBO4"
"PMS2"
"ATP2B2"
"ZNF592"
"MLL2"
"HEPACAM"
"CAMSAP1"
"CEP97"
"NOP16"
"C14orf28"
"LIMCH1"
"MPPED2"
"KIAA1432"
"ADAMTSL2"
"GMPS"
"ABCB5"
"AL136219.1"
"ZNF670"
"IL1R2"
"SHROOM4"
"NOVA1"
"ARID5B"
"OR52K1"
"ZNF582"
"IFITM3"
"SLC2A13"
"WDR93"
"ZP2"
"TTN"
"LMBRD1"
"KEAP1"
"MGAM"
"ITIH2"
"ZNF732"
"UGT1A5"
"ADAM21"
"ALMS1"
"SNRNP200"
"GPR98"
"TRIOBP"
"PCK1"
"GRIK4"
"ASTN2"
"LCE1D"
"GRK7"
"PTCHD2"
"TM9SF4"
"VPS13C"
"ACACB"
"DEFB116"
"RDH8"
"MAGEC2"
"MSH3"
"PGC"
"CXCR7"
"PRUNE2"
"TEKT5"
"PCDH15"
"FAM120A"
"ASH1L"
"PPP3CA"
"COL24A1"
"CYP4V2"
"LCE1C"
"SIRPA"
"POLR1B"
"CALB1"
"CSMD1"
"DUSP3"
"ABHD12B"
"SLC8A1"
"CXorf57"
"SLC5A4"
"POU1F1"
"RAP2C"
"FOXD4"
"DNMT3B"
"SI"
"RAN"
"PCLO"
"PDZD7"
"FLG"
"CDH7"
"UBR1"
"PRKAA2"
"HYDIN"
"CTSL3"
"EBF1"
"FGFR2"
"ADAM7"
"PRKD1"
"SEZ6L"
"OBSL1"
"CEP152"
"BCR"
"ZNF516"
"LRRC69"
"ARID2"
"FAT2"
"PSG8"
"ARMC4"
"PTPLB"
"LAMB4"
"CABS1"
"LONRF2"
"NCAPH"
"PDP1"
"TTLL6"
"TMEM71"
"DNMT3A"
"CAPN3"
"KCNH8"
"ASNS"
"TBC1D3B"
"CHD6"
"OBSCN"
"MSX1"
"MGAT1"
"PTPRT"
"ZNF254"
"PDIA3"
"XIRP2"
"TNNT1"
"OR4C13"
"SIPA1L2"
"FAM91A1"
"PDE4B"
"OSBPL11"
"SIGLEC1"
"KIF21B"
"SIX5"
"PRPF6"
"TMCO5A"
"SPRR2B"
"BTRC"
"CIAO1"
"CPS1"
