"CBFA2T2"
"ARMC9"
"ITIH3"
"ELF3"
"LAMA2"
"GLRA3"
"MYH15"
"GEN1"
"PRKG2"
"WNK3"
"FIGF"
"PPIG"
"PTPRK"
"C20orf46"
"BEND7"
"KIR3DX1"
"ATP6AP1"
"SEPSECS"
"COL11A1"
"ABCA4"
"NUP93"
"EIF3A"
"GRIK1"
"GZMK"
"ZNF778"
"USP9X"
"MUC17"
"CAMTA2"
"EFCAB6"
"SPTLC3"
"KCNC4"
"PARD6A"
"BTRC"
"RHPN2"
"PTPN9"
"SPDYE1"
"AZGP1"
"POU4F2"
"GSTM2"
"CLPB"
"PEX13"
"SPATA17"
"PPP4R1L"
"ARHGAP6"
"SYDE2"
"POLN"
"EDC3"
"DOCK5"
"SEC14L2"
"PLXNA3"
"FHOD3"
"FKBP1C"
"C16orf58"
"C3orf63"
"HOOK2"
"ZFHX4"
"SMPD4"
"CPNE1"
"VN1R1"
"SPTBN1"
"ZFP28"
"DEPDC1"
"TMC3"
"SEH1L"
"OR2AK2"
"PPP2R2A"
"LRRC4C"
"DGKI"
"RP1"
"TLX2"
"RABGGTB"
"NBPF10"
"MCM2"
"SDK1"
"ZNF557"
"ACOT9"
"ZCCHC6"
"RBBP8"
"MYEOV"
"GRM8"
"RAB38"
"IPO8"
"DNAH17"
"RAVER2"
"RFX2"
"HLA-F"
"PCDHGC4"
"SLC25A39"
"RAP1B"
"CYP27A1"
"C14orf102"
"Q6ZMS4"
"GRIN3A"
"ATP13A4"
"DEFB112"
"SLC16A8"
"OMA1"
"ENSG00000145642"
"RABGEF1"
"MMEL1"
"DIMT1L"
"MYOCD"
"ARHGEF33"
"FDFT1"
"CSMD1"
"DFNA5"
"MDN1"
"ESR2"
"PHF8"
"NEB"
"KRTAP10-5"
"RAG1"
"ISG15"
"GGNBP1"
"NR1I2"
"BSDC1"
"DMXL1"
"C1orf180"
"EPAS1"
"SNAP91"
"ABCB5"
"PCDH7"
"SYT16"
"OR5T2"
"NDFIP1"
"RAET1E"
"TNXB"
"KIAA1267"
"LGALS9"
"C11orf65"
"AASDH"
"GHR"
"NPAS2"
"CES4A"
"GNS"
"HHIP"
"SCN10A"
"FCRL3"
"AC010872_2"
"OR8B4"
"DMBX1"
"PCDHGA8"
"MED1"
"DNAH8"
"CABLES2"
"C10orf76"
"IPP"
"CRY2"
"CECR1"
"NAE1"
"MAG"
"GPR63"
"LRGUK"
"ZNF14"
"GRID2"
"TMEM164"
"PCLO"
"TTN"
"PON1"
"CASP5"
"NXF2B"
"IARS"
"KRT82"
"RAET1G"
"RIOK1"
"ENSG00000121031"
"FOLH1B"
"KIAA1524"
"SPAG4"
"ACAD11"
"CDRT1"
"SYNE2"
"EFR3A"
"SIGLEC1"
"OR2L3"
"RIMS1"
"C10orf18"
"RYK"
"WDFY3"
"SPICE1"
"FAT2"
"RYR3"
"FAM75D4"
"SMC2L1"
"ARHGEF37"
"TXLNB"
"PTGS1"
"IFI16"
"ENSG00000103472"
"NCOA6"
"EVI2A"
"UTRN"
"TRIM64B"
"PLXNA1"
"ALDH3B2"
"RNF5"
"CBLN1"
"UBL4A"
"PDYN"
"MFAP3L"
"SLC26A7"
"UNC13B"
"EFCAB5"
"OR12D3"
"DNMT1"
"PRKX"
"OR7C1"
"CNTN5"
"UBAP2"
"ORM2"
"SCARA3"
"CCT5"
"ARHGEF4"
"TBCE"
"STC2"
"CCND2"
"NLRP13"
"STARD3"
"PIAS1"
"PLCB1"
"UNC13C"
"COL4A6"
"ITCH"
"CDYL2"
"ELMO1"
"PIP5K1B"
"GRM1"
"IL1RAP"
"MDFIC"
"ZIM2"
"FRAS1"
"ELF5"
"ACTL9"
"TRPM4"
"LRP1B"
"DOCK9"
"ROPN1L"
"MLL4"
"CACNA2D3"
"HERC1"
"SYNE1"
"ACPL2"
"CNGA4"
"SPP1"
"CLTC"
"C20orf3"
"GRM3"
"NOX1"
"CLEC5A"
"KAL1"
"PLEKHG4"
"STK36"
"SCN11A"
"VPS13D"
"STK17B"
"CDH7"
"WDR45L"
"NXF1"
"ZNF19"
"XIRP2"
"KIAA2022"
"ALOX15"
"RASGRF1"
"PDE5A"
"CHMP4B"
"LPCAT2"
"C20orf111"
"DLC1"
"CENPK"
"FAT3"
"LRRTM1"
"SLA"
"HACL1"
"PRTFDC1"
"SHROOM3"
"AKAP1"
"RXRG"
"PCDHGA1"
"CCDC15"
"INTS7"
"MGST2"
"IQGAP2"
"COG7"
"WBSCR17"
"KRT6C"
"OR8H3"
"TJP1"
"OVCH1"
"GPR149"
"C2orf67"
"ZNF322B"
"NEURL4"
"COL5A1-AS1"
"ITSN2"
"TTLL1"
"RAB6C"
"WDR16"
"CLEC4F"
"C17orf42"
"CRYM"
"SLC15A2"
"FILIP1"
"EIF2AK1"
"SP3"
"VWF"
"PRC1"
"PDXDC2"
"RIPK2"
"TOP3A"
"RTN3"
"KCND2"
"SLC4A2"
"RC3H1"
"ZNF645"
"ZNF488"
"PXDNL"
"GABBR1"
"OR5V1"
"NPSR1"
"IL1R1"
"FAM55B"
"HEATR7B2"
"SH3TC2"
"HYOU1"
"NKD1"
"SMYD5"
"TRIO"
"SIN3B"
"MAP2K7"
"ADAMTS19"
"CLCN3"
"ADAM22"
"POLQ"
"TP53"
"ABI3BP"
"ELMOD1"
"RPA1"
"KAT6B"
"PCDH15"
"TFIP11"
"REXO1"
"IQCJ-SCHIP1"
"SLC8A1"
"CHUK"
"TCHH"
"NDUFV3"
"CUX2"
"SNX20"
"ZNF462"
"LILRB5"
"SLC9A1"
"DDX18"
"MAP2"
"CARD6"
"SYT12"
"BRS3"
"ADAM32"
"TP53AIP1"
"EP300"
"MMP10"
"KRAS"
"FAM75A7"
"POU2F2"
"ATG2B"
"POU6F2"
"TMEM67"
"STARD9"
"LRG1"
"TNS1"
"PML"
"NTN4"
"KDM5C"
"SULT2A1"
"USP44"
"SYT14L"
"PBRM1"
"FSTL4"
"ZNF836"
"CSNK1G3"
"MARK1"
"DNAH1"
"CHPF2"
"OAS2"
"OR4N2"
"KIAA0825"
"MUC5B"
"VWA5A"
"NT5C1B"
"MAGEB10"
"RPL3L"
"GPRC5C"
"ZNF717"
"KIFC3"
"BANK1"
"DOCK2"
"NFIA"
"TRDN"
"GKN2"
"PKHD1"
"PDZD2"
"CCDC36"
"OR5L1"
"USP35"
"RHBDL3"
"ABCA12"
"APLF"
"OR2A2"
"KIF14"
"MYOM2"
"ITGA9"
"GEMIN5"
"SIRT1"
"UST"
"DENND4B"
"MUC1"
"DGKG"
"DNAH2"
"C11orf41"
"KIAA0528"
"ILKAP"
"SMAD4"
"BMS1"
"CEACAM18"
"CMYA5"
"KLHL2"
"APC"
"NID2"
"PCDHA12"
"TNRC6A"
"PNPT1"
"ZBTB41"
"ZSCAN23"
"RBM33"
"KRTAP10-10"
"TECPR1"
"RRP15"
"RNF222"
