"ZNF487P"
"ZNF420"
"O60374"
"CYP2R1"
"ANGPTL2"
"ZNF234"
"Q8NGM4"
"C1S"
"PKP2"
"TNC"
"MDN1"
"UGT1A9"
"ZNF560"
"MCM10"
"KIF1B"
"WDR81"
"SORT1"
"HIST1H4F"
"MAS1L"
"RHPN2"
"C14orf38"
"PYROXD1"
"TTYH1"
"FLJ44216"
"ZNF77"
"MAP4K3"
"NSRP1"
"STK11IP"
"C15orf55"
"SPTBN5"
"ZIC1"
"BAG5"
"SASH1"
"NOL8"
"FGD3"
"TRPC7"
"DCDC1"
"MICAL1"
"PRDM11"
"COL6A3"
"NRG2"
"CYP4B1"
"RYR1"
"C15orf2"
"TAP1"
"SERPINA7"
"DIS3L2"
"FAM71B"
"LTBP2"
"SPO11"
"INO80"
"TTN"
"KIFC3"
"DSG4"
"DHX38"
"TC2N"
"NLRP11"
"POLM"
"PTPRK"
"RP11-108K14.4"
"ZIC2"
"DLGAP5"
"OR5K4"
"TAAR8"
"RBM47"
"SPHK2"
"NIPAL3"
"Q6ZSY1"
"LTK"
"JMJD1C"
"USP37"
"C12orf65"
"PRDM2"
"TPP2"
"VANGL2"
"OR4A47"
"CCDC60"
"AHNAK2"
"ATRX"
"FAT3"
"DNAH7"
"CASR"
"MOGAT1"
"ZMAT2"
"EFHC2"
"HEATR4"
"RAC2"
"MBLAC2"
"MAGEC1"
"MBD5"
"OR5P3"
"SCNN1B"
"ADAM7"
"TLR6"
"NES"
"TMEM167A"
"STXBP5L"
"LRRC23"
"CCT8L2"
"OR1K1"
"DACH2"
"CSMD1"
"CMAS"
"KCNJ8"
"C1orf168"
"GBE1"
"VEGFA"
"SPANXC"
"LEF1"
"TMPRSS12"
"PLXNB1"
"RABL3"
"ANK3"
"SFMBT1"
"USP47"
"GPR180"
"OR4S1"
"BCAR1"
"HTR4"
"EP400"
"PTPRN"
"RHCG"
"KCNE2"
"FAT1"
"MRPS6"
"OR9I1"
"ANKRD62"
"SEPT6"
"ABCC12"
"MTA3"
"ATF7IP2"
"KCNH5"
"KIAA1737"
"TMCO7"
"KIAA0319"
"ZNF320"
"SLC45A2"
"XKR3"
"MCM9"
"ATN1"
"MYOM2"
"STEAP2"
"ZNF528"
"PCDHB8"
"CDH9"
"NFKBID"
"ZNF831"
"FAM168B"
"ANKRD29"
"HAGHL"
"CDH12"
"C9orf153"
"SH3YL1"
"MGAT5B"
"MARCH10"
"OR5B17"
"LRRC43"
"SYNE1"
"DYNC2H1"
"XRCC6BP1"
"EXO1"
"KCNK1"
"RAG2"
"E2F2"
"ACSL5"
"NAP1L3"
"ZMYM3"
"CREB5"
"SIDT2"
"CHRM5"
"FBXO15"
"SHROOM3"
"TREML4"
"SCUBE3"
"PDIA3"
"SMR3A"
"HSPA8"
"CCL25"
"TEK"
"PLOD3"
"FANCM"
"SUCLG1"
"DDX11"
"CANX"
"SRPK2"
"LHFPL1"
"ASPM"
"MUC16"
"GPR112"
"MPP1"
"FCHSD2"
"SGOL1"
"DNAH6"
"ZNF142"
"PTPRF"
"C6orf165"
"ZNF227"
"FSCN2"
"ADAM19"
"POLA1"
"TESK1"
"FAM109B"
"FRAS1"
"INTS1"
"PCDHB1"
"CSNK1G3"
"ENKUR"
"RP11-1286E23.6"
"MAP2K1"
"WDR87"
"CLDN10"
"BRAF"
"CUBN"
"C1orf68"
"NBPF10"
"APOB"
"MAPK8IP1"
"COL5A2"
"AGTPBP1"
"RNF213"
"LASS6"
"IARS2"
"OR1Q1"
"OR4K14"
"ADAMTS2"
"C1orf173"
"CPXM2"
"OR4K1"
"ODZ1"
"CCDC141"
"FAM131B"
"ITPR3"
"SLC7A4"
"ZNF208"
"MS4A1"
"GIGYF2"
"JPH1"
"SCN2A"
"VCX3B"
"ENSG00000174450"
"RASGRF2"
"PON1"
"DNAH8"
"TRRAP"
"KIAA0020"
"SLC16A6"
"CEP63"
"ADAM9"
"MCM3AP"
"MACF1"
"SDPR"
"PPP1R8"
"ATP1A1"
"CWH43"
"DDX10"
"AZGP1"
"RBAK"
"UNC13B"
"UMPS"
"LEPRE1"
"KCNH2"
"KIF16B"
"OR2T12"
"EPB41L4B"
"MARVELD3"
"KHNYN"
"CCDC146"
"ATP7A"
"OR5AP2"
"ALPK3"
"TJP1"
"HIST1H2BO"
"PHC1B"
"NFASC"
"CCDC79"
"C1orf9"
"APEX2"
"P2RY10"
"CSMD2"
"NHSL1"
"NLRP14"
"ZC3H13"
"ZMIZ2"
"RP13-218H24_1"
"FRMD3"
"AKIRIN1"
"SIGLEC5"
"CWF19L2"
"MLL2"
"OBP2A"
"MYH4"
"COG7"
"MFAP5"
"A2ML1"
"NRAP"
"ZNF629"
"PITRM1"
"HIPK3"
"MAP2"
"CCDC147"
"MME"
"EXTL3"
"IL34"
"TRERF1"
"MYO18B"
"CYP2C9"
"PHRF1"
"HYAL4"
"TMPRSS11B"
"UGT2B11"
"TSPAN11"
"ZNF461"
"IQGAP2"
"ARSA"
"PLEKHH1"
"PRAMEF2"
"ALDH1L1"
"SNX31"
"ZNF782"
"NOVA1"
"AC142381_2"
"JAK1"
"STYK1"
"FMO6P"
"KDM5B"
"FASTKD2"
"Q6IPT3"
"SEMA4F"
"GPATCH4"
"HECTD2"
"SLC9A4"
"TNFSF8"
"IL31RA"
"PRKCG"
"CTBP2"
"NSUN2"
"SUPT6H"
"PDS5B"
"LGALS4"
"NBEAL1"
"FNDC1"
"RSPO3"
"PRDM6"
"NPHP4"
"ZNF182"
"DEFB125"
"PHKG2"
"FILIP1"
"PCDHA6"
"PKHD1"
"C10orf40"
"ACTN1"
"LCE1F"
"IKBKAP"
"C5orf4"
"OR4A13P"
"PM20D1"
"XPNPEP3"
"PRAMEF10"
"CCDC34"
"IQCF3"
"MTHFSD"
"PCDH1"
"ASXL3"
"RRBP1"
"CNGB1"
"KRT17"
"HERC2"
"OCRL"
"ZNF18"
"EEA1"
"UBXN4"
"SLC22A10"
"COL19A1"
"PML"
"TCIRG1"
"DMXL1"
"TLN2"
"LACE1"
"C13orf33"
"NM_001039690_2"
"RWDD4"
"TPK1"
"OR5AK2"
"C19orf18"
"STRN"
"PQLC3"
"AR"
"ANKIB1"
"CLSPN"
"ACSM1"
"KDM3B"
"CHML"
"PCDHGA6"
"KIAA0664"
"CXorf21"
"FAM90A1"
"AICDA"
"FN3K"
"SYNJ2"
"TP53"
"ZCCHC11"
"DNAH1"
"NEDD4"
"EVI5"
"HEATR6"
"MVP"
"MMP1"
"CLPB"
"PPP1R15B"
"BAI2"
"FGFR4"
"IRF8"
"MGST1"
"OR4X2"
"OR51E2"
"FSHR"
"CD1D"
"USP21"
"ARMCX1"
"PLCL1"
"NEB"
"BICD1"
"ANKRD18A"
"OR56B1"
"CD22"
"SPEN"
"BPIL2"
"CHI3L1"
"TAS2R8"
"SS18"
"UBAP2"
"GRM8"
"DCAF4"
"C10orf112"
"ADAMTS20"
"CACNA1G"
"SASH3"
