"TACC2"
"DIAPH2"
"UMPS"
"NLRP9"
"KRTAP4-16P"
"VSIG4"
"SLC4A5"
"COL5A3"
"IQGAP1"
"FAM189B"
"HERC4"
"HCK"
"TRPC5"
"CMBL"
"LRRK2"
"ZNF555"
"TBC1D30"
"PKP4"
"FYB"
"RUNDC2B"
"HFE2"
"CTTNBP2"
"SLC38A10"
"VN1R2"
"TFE3"
"ZKSCAN2"
"C2orf62"
"AHCY"
"DOK3"
"LAIR1"
"BSN"
"ZNF609"
"WDR11"
"SRCAP"
"C7orf51"
"RAVER2"
"NRAP"
"PCDHGA1"
"C7orf47"
"ZNF14"
"GPR77"
"CUBN"
"DDX60L"
"CAND1"
"CXorf23"
"OR6P1"
"ZNF16"
"FOXN3"
"ACTR6"
"IL10RB"
"GPR98"
"RPL27"
"C13orf40"
"RHBG"
"OR5L2"
"CYP2F1"
"BRAT1"
"NUP205"
"CLIP4"
"CASD1"
"SYNE1"
"AGTPBP1"
"C9orf96"
"TAGLN3"
"SRGAP3"
"DSN1"
"TNXB"
"DMD"
"PDE6B"
"FEM1C"
"C1orf173"
"ZNF682"
"ZNF572"
"LRRC37B"
"TXNDC12"
"UBE4A"
"TSSK6"
"SHPRH"
"OTOF"
"C10orf126"
"ANKRD30B"
"TIGD4"
"C1orf135"
"PLAGL2"
"CRISPLD2"
"MOV10"
"GRM7"
"ZXDA"
"SEPHS2"
"BCORL1"
"OR2L13"
"MAGT1"
"DECR2"
"MFSD2B"
"PSAT1"
"RASGRP4"
"FASN"
"GPM6A"
"DNAH17"
"BAZ1A"
"BUB1"
"IRG1"
"DDX12"
"ZFP1"
"TSHZ3"
"KYNU"
"OR7G1"
"NM_001039690_2"
"SMTNL1"
"MLL3"
"FAM108C1"
"PKD1"
"ZDHHC11"
"INO80"
"HOXD10"
"KLHL31"
"EVC"
"WNK2"
"RANBP17"
"ZNF638"
"ADAMTS14"
"EXOC1"
"FAM184B"
"WNK1"
"FGB"
"HEXDC"
"C11orf30"
"GRIA3"
"C11orf49"
"NCOR2"
"WNK3"
"KIAA1244"
"BPHL"
"UBR4"
"TDRD5"
"CPSF1"
"NOTCH3"
"SLC35B3"
"RHOT2"
"SIT1"
"PCDHGB1"
"PLCL2"
"ENAM"
"HTR1D"
"DUXA"
"TLN1"
"GIMAP8"
"RPL3L"
"MYOM3"
"ERN1"
"OR2T5"
"FAM189A2"
"ZNF79"
"C5orf42"
"CEP170"
"SLC25A1"
"CUL7"
"INO80D"
"FOLR4"
"MUC2"
"CIITA"
"OPTC"
"TBCD"
"DSCAM"
"SYP"
"TTN"
"ZNF534"
"NOD2"
"LRRK1"
"SNX24"
"FRMPD1"
"BTN1A1"
"HELQ"
"COPB2"
"BBS4"
"DBNL"
"MYO9B"
"PCDHB2"
"NBPF20"
"OR4C16"
"EDEM3"
"TRIM21"
"RAB11FIP2"
"TPP2"
"RFXANK"
"HS3ST4"
"DSE"
"OR8U1"
"CDHR3"
"HCN3"
"USH2A"
"STRADA"
"KIAA0913"
"OR2T11"
"IKBKB"
"LMOD2"
"ZNF304"
"XIRP2"
"DNAH6"
"TET2"
"ATAD3C"
"ZNF774"
"TCEANC"
"CCPG1"
"KLRF1"
"MTSS1"
"PRRT2"
"ZNF208"
"C19orf75"
"MRPL11"
"TLL2"
"LRRCC1"
"SCAI"
"SPAG1"
"EYA2"
"HOXD1"
"FRK"
"KRI1"
"ZNF506"
"SETDB1"
"HYDIN"
"ATP8B3"
"ZBTB22"
"ZFC3H1"
"ANO10"
"LRRC34"
"CMPK2"
"C3"
"VWF"
"ACAD10"
"CACNA1E"
"COL4A4"
"LIN37"
"MYEOV"
"CENPE"
"SBNO2"
"SNAP91"
"UPRT"
"BUB1B"
"C9orf93"
"MCMBP"
"PPAT"
"MYCBP2"
"HECW2"
"RBM45"
"GREB1L"
"BTN2A1"
"ZIC4"
"SCD5"
"GIPR"
"LOXL1"
"MYO10"
"COL15A1"
"PRAM1"
"NT5C1A"
"CD163"
"CHD4"
"ADAM12"
"CTSK"
"ATL3"
"POTEJ"
"SLC27A3"
"CACNA2D3"
"RP13-395E19.1"
"GLG1"
"MB21D2"
"CCDC19"
"CYLC1"
"AC010872_2"
"PAMR1"
"GZMB"
"PLXNA3"
"MSTN"
"TNNC2"
"ANTXR2"
"FER"
"TLK2"
"CA7"
"GALNT3"
"ABCD1"
"HTR3C"
"MICALL1"
"AXDND1"
"PLAC1"
"NKAIN1"
"PSMA8"
"OR14K1"
"OR6X1"
"STIL"
"SOAT2"
"PLCH2"
"MUTYH"
"EPC1"
"METTL2A"
"TLR10"
"INHA"
"CHD9"
"LAMC1"
"KIAA0408"
"VGLL4"
"CDV3"
"CEP290"
"NBPF15"
"KCNK16"
"DNAH3"
"DNAH7"
"HEATR7B2"
"UBR5"
"SPTBN1"
"NMD3"
"ANKS4B"
"RHBDL3"
"PLEC"
"INSL4"
"SIX5"
"IL1RL1"
"KCNG3"
"OR6F1"
"JMJD5"
"PIK3CA"
"MACF1"
"SUPT7L"
"CPSF3"
"BRF1"
"OR4E2"
"WASL"
"KLHDC4"
"ADAM17"
"RUFY1"
"SPOCK3"
"NRF1"
"THSD4"
"NUMA1"
"FAM160B1"
"PIP5K1B"
"FUCA1"
"SPATA9"
"C10orf112"
"NBEAL2"
"UPF3B"
"NEBL"
"RYR3"
"PYROXD2"
"LELP1"
"BARD1"
"PIGG"
"SIPA1L1"
"RELT"
"SETD5"
"BSND"
"ITGA5"
"STXBP5L"
"IGF2"
"CFHR4"
"SCUBE1"
"NPNT"
"ANO4"
"OR4A13P"
"MICAL1"
"LOC442444"
"EAF2"
"CLEC9A"
"SRP68"
"BRIX1"
"ASPM"
"AHNAK"
"STAT5B"
"ATP10D"
"LRRIQ3"
"ROPN1"
"SHMT1"
"ITGA10"
"EI24"
"C1orf35"
"WDR72"
"ANPEP"
"C14orf49"
"AL669831.1"
"CIAPIN1"
"TPR"
"GLDC"
"REV3L"
"FMR1"
"ALPK1"
"LPIN1"
"ZNF724P"
"DPH1-OVCA2"
"EEA1"
"SCN2A"
"RBM34"
"MKL1"
"TEX15"
"ZNF483"
"BTBD7"
"MGRN1"
"CASP10"
"MUC16"
"C17orf53"
"COL13A1"
"DCST1"
"C12orf34"
"CAT"
"TDRD12"
"QSER1"
"NAGLU"
"METTL19"
"ZNF227"
"DNAH11"
"CAPRIN2"
"EIF3A"
"RASGRF1"
"GBE1"
"HMCN1"
"SLFNL1"
"AATK"
"TGFB1I1"
"ZNF827"
"VPS37C"
"SHISA5"
"UGGT1"
"PDZD2"
"RALBP1"
"SLC12A6"
"ZBTB44"
"NFATC4"
"TBC1D3P2"
"O75863"
"KRT79"
"TPST2"
"TUBB1"
"CCNB2"
"PRKCE"
"ST6GALNAC1"
"MUC13"
"MLLT10"
"GLT8D1"
"CYP2D6"
"CPSF4"
"CECR2"
"VPS13C"
"ARHGAP35"
"GH1"
"CLCN3"
"TNKS"
"PPP2R1A"
"OTOA"
"ERBB2IP"
"ZNF768"
"MAST3"
"DYSF"
"CCDC88A"
"HAUS5"
"SLC27A6"
"SLC4A3"
"SLC41A2"
"LRPAP1"
"TMEM82"
"PLEKHN1"
"CSTF2T"
"ZNF154"
"ARPC1B"
"DNAH14"
"PSMB3"
"DNAH10"
"PSMD11"
"SLC2A14"
"KLHL22"
"SLC26A3"
"DYRK4"
"SVEP1"
"OTUD7A"
"SIGLEC8"
"AACS"
"PLEKHA5"
"RBMXL3"
"GPC5"
