"MYH2"
"C22orf23"
"RIN3"
"ALAS2"
"C5orf50"
"ASPM"
"MCM2"
"SAMD9"
"POLE"
"FBXO39"
"OR2W3"
"TTN"
"COPS7A"
"SLC17A6"
"ZFP36L2"
"KBTBD5"
"MYH13"
"MFSD1"
"CDH17"
"KRAS"
"CYP4X1"
"BECN1"
"MSH2"
"FAM123A"
"ATRNL1"
"TTLL12"
"CTGF"
"CPN1"
"DST"
"RABL3"
"VWA5B1"
"UBE2CBP"
"ACTRT2"
"GLP1R"
"AGBL4"
"PTGER3"
"VPS18"
"MSH4"
"LILRA2"
"C12orf51"
"MCMBP"
"BPTF"
"SRGAP2"
"IGDCC4"
"SNX20"
"GPT"
"ZNF573"
"C10orf67"
"TCF21"
"C11orf42"
"CUBN"
"ENPEP"
"FCGBP"
"TMLHE"
"SDCCAG8"
"LEF1"
"OR2V2"
"TMEM232"
"ANK1"
"MUC17"
"FPGT"
"CTNNB1"
"THSD7B"
"ABCA5"
"ZNF365"
"SDHA"
"CDK15"
"PCDHA11"
"HSPA1B"
"EFCAB6"
"KLF13"
"PITX1"
"NAP1L2"
"IRGC"
"AC142381_2"
"PACS2"
"HS3ST3B1"
"STARD8"
"SEMA3E"
"MUC5B"
"PGAM1"
"RHPN2"
"GRIA1"
"TOMM6"
"ZNF91"
"SLC4A2"
"PNKD"
"ZFHX4"
"IL29"
"COL24A1"
"GLYATL1"
"ANO9"
"MYOF"
"NT5C3"
"FSCB"
"RNF10"
"RP3-402G11_5"
"TMC1"
"ZNF212"
"TBX6"
"SLC13A1"
"PCDH17"
"FAM160B1"
"MMP11"
"ULK1"
"RBM26"
"IARS2"
"CA5BP1"
"SLC2A9"
"MTMR8"
"ANKRD52"
"LZTS1"
"RNASE12"
"PSG5"
"ZNF681"
"CCL11"
"SIGLEC8"
"MACF1"
"OR51J1"
"FAM83G"
"RP11-1286E23.17"
"ARID4A"
"PRR3"
"ACO1"
"CCDC136"
"RBM10"
"ZNF561"
"GABRA6"
"TMEM155"
"TRIM16"
"OPN4"
"MCPH1"
"TXLNB"
"E2F7"
"FNDC1"
"DIAPH1"
"A1CF"
"INSR"
"CCDC33"
"MMS22L"
"MAB21L3"
"HTR3C"
"SHPRH"
"ARSH"
"LRRC46"
"POU6F2"
"CARS"
"FUT5"
"LPIN3"
"GBF1"
"SGOL2"
"AMPH"
"SDK2"
"ADAMTS5"
"DMRTA2"
"MUC12"
"ABCA6"
"RPS6KA4"
"XKRX"
"SHOX2"
"SRRT"
"KRTCAP3"
"ADAMTS18"
"CAPG"
"CAPN14"
"ZNF22"
"EIF3H"
"FBN3"
"OR4C6"
"WDR63"
"NDN"
"SNIP1"
"LRRTM3"
"NBPF10"
"ZPBP"
"PRUNE2"
"SLC5A10"
"LPHN3"
"ZNF99"
"GLI3"
"ATP10A"
"OR8H1"
"KIF14"
"BCOR"
"TMC6"
"TRIM49"
"CDH11"
"CACNA2D1"
"DNAH9"
"FYB"
"SLC5A11"
"PIEZO1"
"ZNF114"
"LIG1"
"ZNF536"
"FAM120B"
"TYRO3"
"CTTN"
"MYO16"
"OR9I1"
"ZSCAN1"
"IFT20"
"BTN3A3"
"ETF1"
"ABCC12"
"TSHZ1"
"OPTN"
"RSPH10B"
"PADI4"
"EFCAB11"
"CORIN"
"FAM101B"
"PLCZ1"
"PHKB"
"WDR49"
"BTBD7"
"DYSF"
"UNC45B"
"YTHDC2"
"CDH12"
"OR52H1"
"HOXA11"
"RGS22"
"C14orf135"
"PRAMEF10"
"PRSS38"
"SEC31A"
"AHNAK"
"USP8"
"RP11-65D24.2"
"FAM49B"
"KIAA0317"
"KIAA0415"
"CHD1"
"KPRP"
"F8"
"CNOT1"
"TPP1"
"NKX2-5"
"SRRM4"
"CHRM2"
"NLRP8"
"EYA4"
"KRT222"
"CDH20"
"OLFML2A"
"TAS2R9"
"SHC2"
"FLNB"
"TSC2"
"PGM1"
"GAL3ST2"
"CCR10"
"NUPL1"
"CDC23"
"ADAMTS9"
"NAALADL1"
"WDR41"
"SLC22A8"
"RASGRP4"
"TTYH2"
"HIST1H3F"
"SI"
"RHBDF2"
"HSDL1"
"PCLO"
"AQR"
"MAMDC4"
"VASH1"
"PIGQ"
"AC007731.1"
"UAP1"
"AADACL4"
"ATP8B4"
"RING1"
"MRPS30"
"IQCF2"
"LMNB2"
"SLC5A1"
"FARSB"
"AP3B2"
"VIPAR"
"OR5K3"
"ZFP28"
"MYO5A"
"MKS1"
"KRT32"
"PCDHGB1"
"PRIC285"
"SEMA5B"
"SCAF8"
"KRTAP5-10"
"CRB1"
"FAM180A"
"TAAR2"
"HNRNPH1"
"KCNB1"
"ASCC2"
"SLC39A3"
"NCR1"
"ZNF318"
"CDK5RAP2"
"FAM123C"
"DYNC1I1"
"ZNF260"
"PDE3A"
"CHRNA2"
"OVCH1"
"RTTN"
"FAM110B"
"PTK2B"
"STARD9"
"TRIML2"
"SAMD3"
"OR51F2"
"ZCWPW2"
"KDM4C"
"C10orf92"
"HMCN1"
"CFTR"
"FTSJD2"
"FAM71F1"
"GPR98"
"VRTN"
"EPN3"
"Q8NGM6"
"SPOCK3"
"KCNT2"
"RABGEF1"
"PHKG2"
"NUDT12"
"ADAMTS19"
"MAML1"
"TAF1L"
"DNAH14"
"TRIOBP"
"YARS"
"PLCD1"
"MAGI1"
"IL20RA"
"DDX60L"
"C19orf57"
"ZNF789"
"OR10A3"
"NBPF9"
"PPP2R4"
