"TTK"
"CSMD1"
"KIAA1033"
"RNF40"
"PRCC"
"FNDC3B"
"NEK5"
"SPRR2G"
"STARD6"
"TMC1"
"CYB5R4"
"C1orf180"
"HDAC4"
"USP53"
"SRPR"
"WDFY3"
"CEACAM6"
"PIGB"
"SLIT1"
"MR1"
"KIAA1549"
"MUC16"
"NPTN"
"GABRG1"
"MSRB3"
"PHGDH"
"PABPC1L"
"EIF3A"
"HAP1"
"EAPP"
"ZNF324B"
"RING1"
"RNMTL1"
"CNNM2"
"PAQR8"
"SLC4A1"
"AKAP3"
"ZBTB38"
"KIF26A"
"CPNE7"
"ATN1"
"ATP10A"
"VEZF1"
"ABHD1"
"POM121L2"
"TTN"
"STAR"
"ZNF781"
"OTOP2"
"MLL2"
"MITD1"
"PCDHA5"
"GIT2"
"RELN"
"EEF1B2"
"RIPK3"
"CAPRIN1"
"EIF2AK3"
"TSHZ1"
"ABCC8"
"MYBBP1A"
"LRRCC1"
"PDCD4"
"ALDOC"
"CASP8"
"SHROOM4"
"PTPRB"
"PNLIPRP1"
"KCTD3"
"CPAMD8"
"INHBB"
"AURKAIP1"
"NIPA2"
"C6orf165"
"PCK2"
"COL11A1"
"C1orf164"
"ALMS1"
"GCDH"
"ATG9A"
"SBF1"
"RLTPR"
"TRPV4"
"HTR1D"
"NARG2"
"PTPRU"
"NELF"
"TBC1D13"
"EGF"
"FBXO34"
"GIN1"
"ARID5B"
"ZNF462"
"LPIN2"
"ZNF292"
"CYP4V2"
"PARD3"
"ANKRD18A"
"ELMO2"
"C7orf26"
"ETV1"
"OR11L1"
"PCCA"
"RTN4R"
"TSHR"
"AKT2"
"SDR9C7"
"NRSN2"
"LRP6"
"ENO3"
"SDK1"
"A2ML1"
"PTPRG"
"VDAC2"
"HEATR7B2"
"CLEC4A"
"PSMF1"
"ZNF365"
"GPR31"
"PRPF3"
"CCNT1"
"NOS3"
"LTN1"
"SIK3"
"NUP214"
"INTS12"
"GPR156"
"MUC20"
"ACO2"
"DDB2"
"DNAJC8"
"FLT1"
"LOC158957"
"DALRD3"
"GUF1"
"C7orf51"
"WDR33"
"RCBTB1"
"ATP2A3"
"PRICKLE2"
"SLC25A45"
"CCDC8"
"GPR115"
"GOLGA8F"
"COLEC10"
"MDN1"
"KLF7"
"WHSC1"
"ZNF629"
"PDCD10"
"CCDC144C"
"Q6ZTY5"
"R3HDM1"
"PPOX"
"PPP2R5C"
"CFHR2"
"SLC4A10"
"OSGEP"
"MLL3"
"KRT2"
"ABCA13"
"ARFGAP3"
"PMS1"
"Q8WYW5"
"CCDC151"
"CCPG1"
"GYPA"
"VIT"
"SLC43A3"
"RETSAT"
"SLC2A6"
"ATP9B"
"NBEAL1"
"BSPRY"
"ATXN7L1"
"LCT"
"PCDH10"
"ZNF626"
"HHLA1"
"SV2C"
"TESK2"
"FIGNL1"
"XPO7"
"TMC4"
"PNPLA6"
"TMC3"
"CAPN6"
"ALS2CR8"
"ODF3L2"
"TPR"
"MYPN"
"ATP6V0D2"
"FSIP2"
"ABI3BP"
"BSDC1"
"DAGLB"
"KRT84"
"C6orf81"
"CDH8"
"OR5V1"
"SLC4A11"
"PPP1R3C"
"FOXB1"
"RIPK4"
"PTCH1"
"GART"
"PXK"
"CNTN3"
"DCHS1"
"ZNF804B"
"GDF11"
"ANKZF1"
"DPP3"
"KRT7"
"GREB1"
"IL18R1"
"KCTD7"
"KIAA1671"
