"CTNNA2"
"STEAP2"
"GRM4"
"PSME4"
"EVC"
"ATF7IP2"
"NFIA"
"BRAF"
"TP53"
"NFATC2IP"
"SLC26A5"
"FAM120B"
"ZIK1"
"KRT34"
"ZNF99"
"BOLA1"
"JAK3"
"DLL4"
"NLRP11"
"OR4X1"
"ENPP7"
"CHML"
"ATP2C1"
"ERC2"
"C11orf2"
"HMGCL"
"TUT1"
"GPR111"
"HDAC4"
"LEUTX"
"DCXR"
"NR4A1"
"AKAP9"
"CSMD1"
"TRAPPC9"
"ZNF224"
"PHF12"
"OR1F1"
"LAMA3"
"TTLL5"
"EPN1"
"PCDHB6"
"TRIOBP"
"ST20"
"AC007731_16"
"TTC28"
"NCOA1"
"DYRK4"
"PMM1"
"HES1"
"BAG6"
"MCOLN2"
"MEI1"
"DNMBP"
"GJD4"
"ZNF557"
"PRAM1"
"SCN11A"
"SDCBP"
"CDC40"
"OCM2"
"ARSH"
"ZBTB20"
"ZNF729"
"SP1"
"DAGLB"
"ITIH1"
"ZNF319"
"SLC25A13"
"MYO18A"
"DDX60"
"OR2T6"
"FAT3"
"EXOG"
"DDX11"
"TNRC6A"
"DSP"
"CAND2"
"LEPREL2"
"TRIM22"
"DDR1"
"STAB2"
"MMEL1"
"ABI3BP"
"ODZ4"
"OR4D6"
"NLRP4"
"TNFAIP6"
"NCAN"
"MARVELD3"
"SERPINB3"
"CEACAM19"
"SEMA3A"
"DENND2C"
"DDX12"
"HMG20B"
"MCEE"
"WDR49"
"LMO7"
"CEP120"
"POU5F1"
"MED25"
"KLK8"
"DNAJC17"
"RYR2"
"NEURL4"
"YEATS2"
"CDCA5"
"NUP160"
"RNF17"
"DSCAM"
"KIR2DS4"
"AGAP2"
"DAB2IP"
"KLRC2"
"OR6K3"
"CDH18"
"SELL"
"DENND4B"
"AMIGO2"
"NOC4L"
"DCHS2"
"TRIM33"
"MACC1"
"OR52A4"
"ENSG00000182053"
"HABP2"
"ZNF551"
"PCDHB4"
"UNC13C"
"PIGA"
"ENSG00000171101"
"PITPNC1"
"MRPL28"
"MMP12"
"CACNA1H"
"SLC22A9"
"HAVCR1"
"RET"
"KIAA1529"
"POLG"
"VIL1"
"RASSF2"
"ITSN2"
"PKD1L3"
"INSC"
"SNPH"
"MUSTN1"
"SEC31A"
"OR2Z1"
"WNT1"
"DDX60L"
"SYTL3"
"DNAH3"
"MATK"
"ACMSD"
"MICALL2"
"PLEKHG4B"
"GLT25D1"
"KIAA0649"
"MESDC1"
"ALPK2"
"ADRA1A"
"SLX4"
"TCEA3"
"MEOX1"
"IRF3"
"KBTBD5"
"VWDE"
"LILRA2"
"ARMC10"
"ARHGEF26"
"CNTNAP5"
"TTN"
"FSCN3"
"ZNF193"
"PPM1B"
"LOXHD1"
"ARHGAP44"
"POLE"
"MTMR1"
"C12orf68"
"BOD1L"
"RAPGEF3"
"TAS2R19"
"MCM6"
"FLNB"
"SLC11A2"
"GALNT6"
"CCDC102B"
"ZNF518A"
"OR2L8"
"PARP12"
"AFF2"
"DOCK9"
"LRP2"
"MET"
"RGS5"
"MGA"
"TMEM184A"
"KIAA1486"
"PCLO"
"TRPC4"
"ZDHHC2"
"PHF10"
