"WBSCR16"
"ANKAR"
"SCAF4"
"CNGA1"
"CHUK"
"PCDHB6"
"EGF"
"CSMD1"
"C9orf84"
"SLC12A2"
"SYK"
"SLC26A3"
"PTEN"
"PIGZ"
"GREB1"
"SF3B1"
"EMR3"
"FREM3"
"HP1BP3"
"RYR3"
"MLLT1"
"DNER"
"ZNF683"
"FMNL1"
"C1orf174"
"TTF2"
"LEPREL1"
"PDE1C"
"MAGEF1"
"FRY"
"DDHD1"
"PDCD8"
"KIF17"
"MCM9"
"OR4K2"
"PPP1R12B"
"VWC2L"
"SKOR1"
"SLC14A1"
"MMS19"
"CCR5"
"PLCB1"
"FLG2"
"TMOD3"
"OR2T1"
"KIF14"
"PCLO"
"KIAA1328"
"TRIOBP"
"MRPS2"
"ZNF214"
"POLR2G"
"ASTN2"
"DNAH9"
"LRRC37A3"
"BAHCC1"
"STRN"
"PAPPA2"
"ACAN"
"NUPR1"
"ZCCHC17"
"HNMT"
"OR51B4"
"KIF1A"
"SLCO5A1"
"MYO5A"
"TSG101"
"CDCP1"
"RNF128"
"ALDH9A1"
"ZNF679"
"RP11-1286E23.13"
"TNXB"
"GAPDHS"
"COL17A1"
"ZNF483"
"DIS3"
"IL18R1"
"PRG2"
"FAM22B"
"MUC17"
"LRIT1"
"ZBTB1"
"C12orf40"
"CDH8"
"TAF1L"
"DSG4"
"ZNF345"
"ABCB8"
"ATR"
"MSH5"
"RPS24"
"KLHL3"
"APLP1"
"KRT26"
"NLRP8"
"ATP10B"
"ZSWIM3"
"COPA"
"RPL38"
"OR7E5P"
"AOC2"
"CLCN1"
"ATG4C"
"CHD6"
"MUC4"
"C10orf53"
"RNF150"
"STIP1"
"PLA2G4F"
"ABCA1"
"TSSK2"
"TSPO"
"DOPEY1"
"OR2A12"
"GALNTL6"
"FAT2"
"ZFPM2"
"HHLA1"
"TSGA10"
"ANKRD30A"
"MED12L"
"CYFIP2"
"FAM83C"
"ARHGAP10"
"PDE4D"
"BRAF"
"COMT"
"KCNT2"
"SLC5A1"
"CORO1A"
"MLL2"
"ACCSL"
"ZBTB20"
"C10orf71"
"TACO1"
"OR1N2"
"EPHA5"
"LOC283849"
"RASGRF1"
"DNAH5"
"ZNF713"
"C3orf26"
"THPO"
"CSF2RB"
"GANAB"
