"NIPA1"
"MYOM3"
"MTOR"
"PIAS3"
"TRRAP"
"GRIK4"
"FGFR1OP"
"PYGB"
"TMSB4X"
"ORMDL1"
"SETX"
"PROKR2"
"GPRASP1"
"C12orf54"
"OR6C75"
"UNC13C"
"C10orf129"
"KIF21B"
"POPDC3"
"MEIS1"
"SNAP91"
"BHLHB9"
"USH2A"
"KIAA2026"
"RUNX1"
"CST4"
"SLC8A1"
"SEC24C"
"EMR4"
"SNAP47"
"CSMD2"
"KIF20A"
"FGD5"
"AP001011.3"
"PRUNE"
"SLC26A9"
"ABCA13"
"ZSCAN18"
"KRT35"
"CHD1"
"HIST3H2A"
"ENSG00000064489"
"OMA1"
"ANK3"
"BSN"
"SLC20A1"
"RSF1"
"CACNA1B"
"CRELD1"
"CCDC27"
"COX7B2"
"C8orf34"
"PXDNL"
"STAC"
"ZBTB20"
"CYP24A1"
"KLB"
"SLC45A4"
"ZNF443"
"CNR1"
"CECR2"
"C6orf174"
"BMP5"
"TTN"
"CASQ1"
"BCAN"
"PCDH1"
"THEMIS"
"ANK2"
"MYOF"
"NEUROD4"
"SLC2A14"
"ARRDC3"
"EHD4"
"ZFP64"
"POSTN"
"FAM46D"
"GPX6"
"DRD4"
"ACSL1"
"CD1D"
"CPA3"
"DMBT1"
"TLR8"
"LRIT1"
"OR5W2"
"NTNG1"
"C20orf78"
"ZNF431"
"GCKR"
"ZIM2"
"XDH"
"NR1D1"
"LGSN"
"NT5C1B"
"PTPRD"
"MYH2"
"C15orf2"
"ILDR2"
"SBF2"
"ZNF804A"
"ODF1"
"FREM1"
"TBCEL"
"RBM6"
"F13B"
"KIAA0195"
"TACC3"
"XRN2"
"PAPPA2"
"CD160"
"FNIP1"
"NLRP3"
"ANKRD30B"
"PAMR1"
"BMP7"
"SLC9A8"
"ANKRD17"
"HOXB9"
"SVEP1"
"ROBO2"
"C3orf52"
"NIT2"
"TMPRSS15"
"CNTNAP4"
"ZNF560"
"HERC3"
"ZIM3"
"O52L2"
"GTF3C2"
"CA2"
"MME"
"BANK1"
"DENND2C"
"TTLL6"
"ACAD11"
"SULF1"
"ZNF85"
"BTN2A1"
"BIRC6"
"MUC16"
"PTPRH"
"EXOC2"
"LHX8"
"CCDC54"
"C2orf51"
"KIAA1211"
"GPC5"
"RB1CC1"
"MTTP"
"DDX43"
"NRCAM"
"OR4C13"
"AKAP4"
"RORB"
"TDRD5"
"FOSL2"
"ICOSLG"
"NLRP9"
"CYP7A1"
"P2RY2"
"CCDC73"
"SLC36A4"
"PLEC"
"PYGO1"
"HP1BP3"
"PLXDC2"
"CRYBB1"
"ATP8A2"
"ZBP1"
"UBQLN2"
"THBS3"
"DIAPH3"
"SPICE1"
"AC011500.1"
"HGF"
"MAGEB6"
"FN1"
"SLC22A6"
"RETNLB"
"ADAM7"
"PLCH1"
"LOXHD1"
"ENSG00000214944"
"ZNF331"
"KCNIP1"
"KBTBD3"
"B3GALT4"
"MECOM"
"LGR6"
"UNQ1887"
"LGALS14"
"COL4A1"
"ZNF831"
"TMEM132B"
"ASXL1"
"KIF4B"
"ASNSD1"
"AFMID"
"GABRG1"
"ZNF526"
"CAPN7"
"ENSG00000183355"
"TBX15"
"CHID1"
"RP1"
"EGFL6"
"FAT4"
"LAMC2"
"WDR19"
"NCF4"
"MED19"
"DOCK11"
"CATSPER1"
"ZNF793"
"PLCE1"
"C1orf222"
"ITIH1"
"GP6"
"PDE4DIP"
"NLRP4"
"ASPSCR1"
"TGIF1"
"PNMA5"
"MARS"
"C2orf16"
"SRRM2"
"KRT8P11"
"AKAP8"
"ZNF599"
"MYH9"
"TSPAN10"
"DPH1-OVCA2"
"NOTCH3"
"FAM90A20"
"NCF2"
"HBE1"
"PRB2"
"KLHDC7A"
"LRRC4C"
"SYT1"
"RBAK"
"MYH8"
"PCDHGA5"
"KCNK2"
"MATN3"
"PIEZO2"
"STIL"
"CCDC64"
"ZFHX4"
"ARID4B"
"OR10C1"
"RNF207"
"ETF1"
"CSMD1"
"DNAH3"
"FRAS1"
"PUS10"
"KCNS2"
"FAAH2"
"ANXA2"
"FGFR2"
"MTUS2"
"TCP1"
"TEX2"
"DHTKD1"
"METTL8"
"KLK5"
"ENSG00000102445"
"RPE65"
"OR4A16"
"FAM19A4"
"OTOG"
"NUTF2"
"PRB3"
"NEK11"
"GNAT2"
