"LPIN1"
"PHTF2"
"DIAPH2"
"OR2T1"
"STEAP1B"
"ZSWIM7"
"WDR87"
"KIAA1462"
"IKZF1"
"DSCAM"
"ALX4"
"MYOM3"
"RGS12"
"EPS8L2"
"MICAL2"
"COL16A1"
"NEDD4L"
"KLHL32"
"TSSC4"
"IFT140"
"EPPK1"
"OR51B4"
"F10"
"TMEM45B"
"PPAN-P2RY11"
"C3orf56"
"COL5A3"
"C11orf2"
"KCNJ1"
"TRRAP"
"ITGA5"
"IFNA5"
"CDH17"
"DHX8"
"C3orf25"
"C3orf15"
"PAQR9"
"HSPG2"
"SPESP1"
"FTCD"
"TRANK1"
"GPR112"
"PCDHA11"
"AEBP2"
"CD163L1"
"KRT5"
"PTEN"
"MTCP1"
"OLFM2"
"R3HDM2"
"NPSR1"
"OTOGL"
"USP36"
"HDX"
"DMBT1"
"AGTPBP1"
"BAZ1A"
"CXorf36"
"CEACAM18"
"KIF13B"
"MUC16"
"MAST3"
"BARX2"
"ARHGAP23"
"CNTN3"
"DHX34"
"NTNG2"
"SPTA1"
"MMP1"
"BOD1L"
"SPEG"
"NACAD"
"IQSEC3"
"ZNF283"
"GABRE"
"HOOK2"
"DIS3L2"
"GLI2"
"PSG5"
"CEP57L1"
"SWT1"
"HMGCS2"
"ZMYND8"
"MCTP2"
"PCDHA1"
"TAS2R8"
"GMIP"
"GABRA2"
"GGCT"
"MYO15A"
"TOR1A"
"ZNF711"
"MYH8"
"EPB42"
"PCLO"
"CDH6"
"DKK2"
"FRMPD3"
"KCNC2"
"AHNAK2"
"MAGI1"
"LILRB1"
"AGRN"
"OR8B12"
"C19orf45"
"SEC14L5"
"NUMB"
"TTLL5"
"CTTN"
"ZFPM2"
"SLC11A1"
"OSMR"
"LAMC2"
"KCNG4"
"IMMP2L"
"TTN"
"CCDC116"
"ZNF804A"
"ZNF99"
"POLE"
"PLCB4"
"MYH4"
"ODZ2"
"AMPD1"
"HNRNPA3"
"PHACTR2"
"PDGFRL"
"BRCA1"
"TYR"
"FAM127B"
"FBF1"
"TNFAIP8L3"
"NLRP13"
"FERMT1"
"AC027369_8"
"KCNK10"
"MTSS1L"
"SLC16A13"
"CAPN8"
"RNF113A"
"KRT1"
"ARHGEF9"
"NCR1"
"KHSRP"
"LZTR1"
"PDE6A"
"UHRF1BP1"
"ISM1"
"ST8SIA4"
"TMC7"
"FASTKD5"
"HLA-G"
"DPEP2"
"CUX2"
"NPAT"
"IGFN1"
"MYBPC2"
"GP6"
"RDH12"
"AADACL3"
"OR4X2"
"DLX6"
"EPB49"
"TBX21"
"ST18"
"SLC25A45"
"C15orf55"
"ZNF41"
"PLA2G4F"
"GPR63"
"PROP1"
"TP53BP1"
"NSMCE1"
"ACACA"
"LRIF1"
"Q96RY6"
"TM4SF2"
"OPHN1"
"TNXB"
"KRT23"
"ZSWIM1"
"MOXD1"
"RYR2"
"RGN"
"CYP7B1"
"LRRC7"
"TSHZ1"
"CYLC1"
"SERPINB11"
"CHRNA4"
"XIRP2"
"SMC3"
"OXR1"
"GPR75"
"CXorf26"
"MUC19"
"PLA2R1"
"KIAA0319"
"C11orf66"
"PTPN21"
"KCNC4"
"OR2J1"
"LAMA1"
"SLC4A8"
"CCDC79"
"CEP170"
"PMFBP1"
"TBC1D10B"
"ADAM19"
"KIAA0825"
"YV009"
"ZNF804B"
"EPS8L3"
"CNTNAP2"
"TTC13"
"ALPI"
"DYNC1H1"
"OR6C4"
"MYH1"
"CNKSR2"
"PKHD1L1"
"BRCC3"
"IFT122"
"PTPRR"
"TBC1D25"
"PIK3CG"
"RENBP"
"CR2"
"PRRX1"
"ALDH1A2"
"SLFN12L"
"SH3BP1"
"BCAS3"
"SLC17A8"
"ZCCHC4"
"FAM5C"
"SALL1"
"IRF8"
"SLC22A16"
"PTCHD1"
"OR3A1"
"TTC38"
"ARSK"
"USP43"
"TARSL2"
"TNFRSF6B"
"EIF2S1"
"DNAH2"
"ZFHX2"
"BTBD7"
"VPS18"
"KLK11"
"C12orf63"
"LDHC"
"GPR116"
"VPREB1"
"ANO4"
"BHLHE41"
"EEA1"
"TNS4"
"TMEM38A"
"OR51F2"
"NLRC3"
"FIGF"
"KBTBD2"
"MCTP1"
"NEIL2"
"SND1"
"SEC22A"
"EZH1"
"CYLC2"
"SLC16A7"
"SPACA7"
"KCNQ3"
"PLXNB2"
"OR52N5"
"MARK1"
"CNTN5"
"SCN7A"
"OCIAD1"
"INPP1"
"OR10T2"
"TRIM55"
"TGM1"
"ROS1"
"BRAF"
"NLRP2"
"MTERF"
"AGBL1"
"AC109829.1"
"RASSF9"
"ARHGEF5"
"IL22RA1"
"OR7A5"
"TTC8"
"USP37"
"PLEKHA8"
"NBPF10"
"ADAM17"
"KDM6B"
"RP1L1"
"OBSCN"
"C5"
"ENSG00000188219"
"TMEM200A"
"CABP7"
"RGS2"
"CIB2"
"BRF2"
