"CSNK1G3"
"MYBPC2"
"GPR115"
"GPR133"
"ZNF433"
"MSH6"
"SLC25A12"
"ATAD3C"
"SCN11A"
"NLGN4X"
"OBSCN"
"CCDC88A"
"NES"
"HIST1H3A"
"STXBP5"
"C14orf164"
"DUSP3"
"CD2"
"MUC12"
"APOL6"
"METTL8"
"ALG12"
"PAPOLA"
"SEL1L3"
"TUSC5"
"NMUR1"
"FBXW10"
"C20orf71"
"ZFP2"
"CCND1"
"SMPD1"
"FRAS1"
"UBE2C"
"DTD1"
"HNF4A"
"ATPBD4"
"ZNF560"
"ITGAE"
"AC136604.1"
"PRC1"
"CARD8"
"MUC16"
"MUC1"
"KRTAP9-8"
"SSRP1"
"ZNF527"
"DEPDC4"
"TEX10"
"RB1CC1"
"KIAA0664"
"RICTOR"
"YAP1"
"RGPD4"
"TSPY1"
"RUFY1"
"MAP4K4"
"CARM1"
"KRTAP5-4"
"SLC22A16"
"ZNF266"
"C14orf20"
"RGL4"
"KDM4C"
"EPHA6"
"THAP1"
"RHAG"
"POC5"
"KIAA0146"
"DHX34"
"PRAMEF18"
"KIAA1486"
"KIAA1430"
"MGMT"
"TP53"
"PITPNM2"
"PIEZO2"
"OTX1"
"PDXDC1"
"GCN1L1"
"FAT4"
"C21orf91"
"GTF2I"
"ALPK3"
"TRO"
"PLA2G16"
"NRSN2"
"IQCE"
"SUSD1"
"NOX5"
"TULP4"
"LSM10"
"C11orf41"
"IGSF3"
"SMC4"
"MOCS1"
"ATP1A4"
"AHSG"
"C12orf55"
"LTN1"
"C20orf177"
"IRG1"
"HRH1"
"PGBD5"
"MBD6"
"WDR64"
"GAB2"
"ANKRD20A4"
"VCX3B"
"ADORA3"
"NUFIP2"
"RIN2"
"CENPJ"
"C6orf97"
"AMPD3"
"TPX2"
"SYT11"
"PLEC"
"RNF19A"
"EOMES"
"TMC5"
"TP53TG5"
"FBF1"
"NOS1AP"
"TCEAL3"
"CENPF"
"PANK1"
"FBN3"
"ANO3"
"SOX5"
"GZMB"
"FBXL14"
"CLCA1"
"USHBP1"
"GABBR2"
"CCDC102B"
"SLC37A4"
"Q76B61"
"ZNF536"
"NPAS3"
"TNR"
