"MFN1"
"ABCA9"
"PI16"
"RUFY2"
"KIRREL"
"LCE2B"
"C15orf55"
"MUC6"
"DMBT1"
"FLNA"
"COPS4"
"DST"
"MLLT4"
"KIAA0586"
"C5orf44"
"ZFYVE16"
"OR8D2"
"SLC22A17"
"PRKD3"
"RTL1"
"ELFN2"
"TIRAP"
"MYO1C"
"GRAMD2"
"BCAS1"
"MED23"
"PPP1R16B"
"FETUB"
"RIC8A"
"RELL2"
"PHF19"
"SLC4A11"
"ITGA2"
"BSPH1"
"AC007731.1"
"RASSF6"
"LARP4B"
"GSDMB"
"ARSB"
"RALY"
"KCNK9"
"FCRL5"
"DNAH7"
"LPCAT1"
"GRID1"
"ARHGAP11A"
"VWA5A"
"TJP1"
"C22orf29"
"OR2G2"
"CIT"
"NOL8"
"STK31"
"ALDH1L1"
"TTC13"
"FLG"
"CDH10"
"NPEPPS"
"USP15"
"PCDHGA5"
"ACTN2"
"FAM48A"
"GRIK1"
"HIST1H2BC"
"DBF4B"
"BANK1"
"CHST8"
"GKAP1"
"KIAA0319"
"IVNS1ABP"
"MTCP1"
"AP000322.53"
"DSG1"
"SHKBP1"
"DSCAML1"
"PIK3CA"
"VPS41"
"TP53"
"MUC17"
"LRRC16A"
"MTA3"
"ZFHX4"
"APBA2"
"MTM1"
"MAEL"
"ICAM2"
"DCDC5"
"OR10G6"
"OR13C5"
"BTN2A1"
"IQCC"
"XRRA1"
"BIN1"
"FBN2"
"GABRB1"
"MUT"
"AGBL4"
"POSTN"
"GDPD3"
"SIGLEC10"
"ZNF99"
"EMB"
"SPEN"
"DGKD"
"GPHN"
"ZHX2"
"HERC2"
"KRT80"
"LCTL"
"USP28"
"ACVR1"
"IL5RA"
"SLC22A25"
"WDR19"
"CD1A"
"PKD1"
"GPR111"
"RRAD"
"PCDHGA10"
"LOC440345"
"GPR112"
"HAPLN3"
"ARID1A"
"CCDC83"
"ATF7IP"
"TTC25"
"RFWD3"
"SENP1"
"ABCA13"
"SRSF5"
"KBTBD5"
"GOLGA8IP"
"UNC13C"
"RSBN1L"
"ACTL7B"
"NFS1"
"EHMT1"
"SPTBN2"
"DEFB118"
"NFE2"
"CRTAC1"
"BTBD11"
"ZCCHC11"
"NHS"
"GGA2"
"DDX1"
"ZNF660"
"GLI1"
"CHMP2A"
"OR10G9"
"CPNE9"
"PACSIN3"
"PDE4DIP"
"CPXM2"
"DEDD2"
"RTCD1"
"TTC28"
"AC092031.1"
"TMEM87A"
