"LCA5"
"XKR7"
"DET1"
"PPP2R1A"
"OR2A14"
"SPTA1"
"PAX1"
"DYRK1B"
"TECPR2"
"SUGP1"
"TRIP12"
"PDE1C"
"C3orf67"
"MAP1B"
"PPDPF"
"SAGE1"
"DCC"
"PTPN13"
"ZNF721"
"ZNF304"
"UACA"
"C9orf144"
"PIK3R1"
"VAV3"
"ZIM2"
"ACTR3B"
"YTHDC2"
"FBP2"
"KCNH6"
"MOBKL1A"
"ITGA6"
"C16orf79"
"APOB"
"ZNF837"
"CPXM2"
"ILVBL"
"F10"
"BBOX1"
"ANKS1B"
"UNC80"
"TNFAIP6"
"C20orf177"
"AUH"
"FNTA"
"HCFC1"
"TAS2R8"
"COL6A5"
"TFDP2"
"ADAM10"
"LMTK2"
"RAPGEF2"
"XK"
"ZNF238"
"AHNAK2"
"PPIL2"
"MMD"
"TNKS1BP1"
"HMGN5"
"DNAH14"
"OR4C12"
"FZD1"
"SNTG1"
"C6orf174"
"CDK17"
"DPP8"
"LRRC8E"
"KBTBD4"
"NUDT1"
"OR1A2"
"ZNF618"
"SI"
"TTN"
"MUC16"
"STX19"
"EXOC6"
"FLG2"
"UBE3A"
"CXorf59"
"KRTAP1-1"
"CD200R1"
"NOD1"
"SKOR2"
"MTA2"
"PIP4K2C"
"ZSCAN20"
"SGOL2"
"WDR87"
"NEK9"
"ODZ2"
"ABCC4"
"TLR1"
"EML6"
"VCP"
"PRAMEF13"
"MYO9A"
"MCM7"
"EPG5"
"TBL1X"
"PRR19"
"GPR39"
"C9orf173"
"RUNX1T1"
"NDRG4"
"RARS2"
"UNC13C"
"EVPLL"
"NLRC4"
"ZNF764"
"PDZD7"
"PCLO"
"TBC1D30"
"DNMT1"
"EMID2"
"MATN3"
"PRRT3"
"IRAK2"
"RGS7"
"CA1"
"C19orf55"
"BCMO1"
"SLC7A9"
"WDR25"
"EML5"
"LRRC46"
"CCDC39"
"PTHLH"
"GFRA1"
"PRB1"
"BAZ2A"
"GOLGA8IP"
"POLK"
"SLC9A10"
"VPS41"
"ZDHHC8"
"WDR91"
"ZNF786"
"C3orf38"
"RELT"
"DBR1"
"DMTF1"
"MTMR9"
"WASH3P"
"CCDC148"
"EYS"
"FANCM"
"NBPF15"
"ZNF600"
"KIR2DL1"
"KLHL29"
"OR1B1"
"FLJ44216"
"NEFM"
"CWC27"
"HEATR7B2"
"TRIM9"
"CASC5"
"ARID5A"
"MMP26"
"SLC5A2"
"THOC2"
"NEIL1"
"MYO18B"
"USP42"
"HMCN1"
"RHBG"
"LAMA5"
"SORCS1"
"COPG2"
"CACNA1D"
"ACRC"
"PHF15"
"MOSPD3"
"SLC47A2"
"ATXN1"
"UGT3A2"
"TAS2R43"
"MUC19"
"XIRP2"
"CXorf21"
"C1orf192"
"TP53"
