"CLEC4A"
"TBC1D26"
"MTUS2"
"DPY19L1"
"KLHL6"
"FAM40B"
"NF1"
"SENP5"
"C10orf118"
"NUMB"
"OXR1"
"GAS8"
"CXorf58"
"ANAPC1"
"LRRC16B"
"ZNF148"
"TNFSF8"
"RPS6KA1"
"ERI3"
"KRTAP9-2"
"RPS9"
"RSRC2"
"PCOLCE2"
"SPIN1"
"BACH2"
"CASD1"
"CUL9"
"CUEDC2"
"CPLX3"
"SLC25A44"
"ACY1"
"VARS"
"DLG4"
"RTN4IP1"
"ZNF34"
"LYZL1"
"CDK19"
"GAD2"
"DLG2"
"CEL"
"ALPK3"
"STK31"
"ZNF100"
"HEATR5B"
"TRIP6"
"ITGA2"
"IGDCC3"
"TRIM49B"
"CLCNKA"
"CCDC80"
"CACHD1"
"GPR116"
"KIAA0913"
"SIX2"
"UNC45A"
"ISM2"
"CYB561D2"
"SIDT2"
"RAG1"
"KIR2DL4"
"NINJ1"
"C12orf28"
"NALCN"
"GMIP"
"MRGPRX2"
"DYRK4"
"RSPH9"
"PTGFRN"
"SETD1A"
"EFEMP1"
"ZNF66P"
"ABTB2"
"C3orf77"
"RCN3"
"CMKLR1"
"MGAM"
"KDELC2"
"C9orf117"
"EFCAB1"
"RXFP2"
"OCA2"
"LPHN3"
"CSMD3"
"NCOA4"
"NLRP4"
"PRDM1"
"ATAD2"
"NKX3-2"
"SCN1A"
"TLR10"
"SKA3"
"HCN3"
"C19orf44"
"MYO7A"
"TEPP"
"OR52I2"
"ARFGEF1"
"RGS4"
"ASAP3"
"BAZ1B"
"ABCD4"
"MYH14"
"PPP2R1A"
"KBTBD13"
"GOLGA4"
"TRIM24"
"HNRNPA1L2"
"NAPRT1"
"PKP1"
"COL6A3"
"BRCA1"
"GHDC"
"E2F7"
"PCDHB13"
"PHF1"
"PGA5"
"DOCK9"
"DOCK6"
"RBP3"
"TMPRSS11D"
"ZIC5"
"TECTA"
"PCDH8"
"MYH4"
"TP53"
"ZBTB37"
"MUC16"
"TMEM99"
"MYH2"
"ANKRD11"
"ZNF592"
"HSP90AA1"
"CBLB"
"C20orf177"
"OSGIN1"
"COMMD8"
"C6orf168"
"EPN1"
"IL36A"
"HSPA4"
"TAF4B"
"CEP192"
"OR10A6"
"TMEM48"
"C14orf43"
"GADL1"
"VSIG10"
"TSPAN15"
"SUSD5"
"KCNA7"
"OR52I1"
"LILRB5"
"SPEF1"
"PHF3"
"CPXCR1"
"HIST1H2AD"
"NLRP11"
"GDF9"
"KCNJ3"
"SLC4A1"
"CFH"
"CUBN"
