"DIP2A"
"PRR16"
"CCNL1"
"CECR2"
"PARP12"
"EPHA7"
"AKAP3"
"GOLGA4"
"TLR3"
"CUBN"
"SRM"
"TAF1"
"CHN2"
"AC027369_8"
"NCOR2"
"CCDC13"
"GABRA5"
"ACAD10"
"ATM"
"WDR87"
"KRTAP1-3"
"ABCC4"
"AGPHD1"
"FAM166A"
"CD163"
"SIGLEC1"
"POTED"
"RSC1A1"
"PLEK"
"OR5K4"
"DLX1"
"EPN2"
"MGAM"
"PDGFRA"
"LILRA3"
"CCR3"
"NFKBIL1"
"CAPRIN1"
"RBPJ"
"TAS2R13"
"PZP"
"DNAH9"
"SLC12A2"
"FAM83B"
"MTSS1"
"TBX1"
"TBRG1"
"ANKRD30A"
"PHF17"
"RFX8"
"ZNF737"
"CYP4F22"
"FAM131C"
"PTPRB"
"FLNB"
"AIG1"
"TRIM46"
"NFE2"
"RBM19"
"LAMA5"
"AHNAK2"
"ZNF821"
"C20orf3"
"BCL2L1"
"RAPGEF5"
"NMUR2"
"PTCH1"
"POPDC2"
"MUC12"
"IARS2"
"OR10R2"
"VDR"
"DNER"
"KEL"
"ARHGAP44"
"FBXL20"
"CDH3"
"CNTROB"
"NOS1"
"NLRP8"
"ARFGEF2"
"KLHL25"
"NUP214"
"LMTK2"
"ADAMTS18"
"CHAC1"
"CPT1A"
"FAM21C"
"DMPK"
"GCK"
"PABPC4"
"PRG4"
"AGAP4"
"MAGI3"
"KCNMA1"
"TPTE2"
"NEBL"
"ST6GALNAC5"
"UTP15"
"ATRNL1"
"DLG5"
"ATP1A1"
"APBA3"
"OCA2"
"APOB"
"MCTP1"
"CAMK2B"
"PCDHB7"
"TJP1"
"TBC1D3P2"
"AMY2B"
"ARHGAP39"
"IL31RA"
"FBXW8"
"TRIM49B"
"LCT"
"EID3"
"FAM55B"
"COBLL1"
"CREBBP"
"BRWD1"
"RERE"
"PIK3C2G"
"ITPR1"
"WDR90"
"AP1G1"
"MAP3K5"
"DSP"
"GCKR"
"EYA2"
"PRDM9"
"KRT4"
"RYR2"
"PALLD"
"SF1"
"LCP2"
"MUC6"
"TAS2R19"
"EIF4G3"
"VSTM2A"
"DSC2"
"THOC6"
"IL17RE"
"USH2A"
"LGR4"
"C8A"
"C1orf94"
"ENSG00000215407"
"IGSF9B"
"CRAMP1L"
"CASP1"
"ESF1"
"CSE1L"
"CDH6"
"ACTRT1"
"KRTAP4-8"
"OXCT1"
"ELOVL2"
"VPS45"
"BRAF"
"CARD8"
"LGALS4"
