"MYH1"
"ANLN"
"MTHFS"
"KIAA0907"
"ZNF543"
"C8orf47"
"FMNL3"
"INTS10"
"KLF17"
"PGLYRP4"
"WBSCR16"
"SNTB1"
"ZFP64"
"ECHDC3"
"TTC7B"
"SPTBN4"
"KRTAP21-1"
"CD209"
"RAPH1"
"ZNF724P"
"FSTL4"
"EGFR"
"USH2A"
"ATP8B4"
"GK2"
"OR6N2"
"DBNL"
"SLC25A41"
"GLUD1"
"PCDH15"
"OMG"
"TCTN3"
"SBDS"
"CASP4"
"SMARCA4"
"UGT2B17"
"KHDRBS3"
"ABCG8"
"IL18RAP"
"FGA"
"ARMCX5"
"DENND4A"
"SGIP1"
"ENSG00000214581"
"DLEC1"
"ADH6"
"POLQ"
"FAM86A"
"DSN1"
"GGTLC1"
"ELMO3"
"KRT86"
"TACC1"
"CYP2R1"
"IPCEF1"
"BICD1"
"PRRC2B"
"TP53"
"CWF19L2"
"MYO9B"
"RASGEF1A"
"PGM5"
"MFN2"
"SSC5D"
"C1R"
"Q8NH58"
"CAMTA1"
"MAST4"
"COL6A6"
"PCNT"
"CECR2"
"CRP"
"APC"
"MLL2"
"ALDH1L1"
"BRIX1"
"MMP27"
"MMP12"
"DCST2"
"TG"
"ZNF66P"
"RPIA"
"CRLS1"
"RYR2"
"EDNRA"
"DFNA5"
"RPS4XP21"
"PDE4DIP"
"RASGRF1"
"DIDO1"
"EFHD1"
"ZC3H7B"
"NCAM1"
"CDK11B"
"MMP24"
"ADAMTS12"
"PIK3C2A"
"CMYA5"
"KNG1"
"LOC440345"
"ERG"
"LAMB4"
"RLTPR"
"ST8SIA4"
