"GPR125"
"HIP1"
"NAGLU"
"DENND2A"
"TOB2"
"NPHP1"
"KIR2DL4"
"DIAPH2"
"CPSF1"
"DNASE1"
"HYDIN"
"COL6A3"
"GOLGA8F"
"BMP8A"
"RP11-551L14.1"
"TMEM5"
"PCDH10"
"LNX1"
"HR"
"PRAMEF5"
"PYROXD1"
"KIAA1671"
"AUTS2"
"COPB1"
"ATP2A3"
"FAM171A1"
"C12orf50"
"GYS1"
"MSH4"
"DYSF"
"NET1"
"HEPHL1"
"CTSE"
"CFTR"
"NEK3"
"MUC4"
"TRPM6"
"GGH"
"SG269"
"SLC4A7"
"MAP3K5"
"IRF6"
"OR4S1"
"GFRA2"
"PLXNA4"
"BCOR"
"TCP11L2"
"RP11-671M22.1"
"DNAH7"
"CAPN6"
"LYNX1"
"LPHN2"
"OR5H2"
"NBPF12"
"WDR49"
"SCTR"
"GRIK4"
"IFI44L"
"Q96HF5"
"DCAF10"
"ARHGEF16"
"UAP1L1"
"SYT14"
"NBAS"
"PHGDH"
"RAPGEF5"
"KRT28"
"TNFRSF10B"
"ADAM21"
"IP6K2"
"GNAS"
"KCND1"
"ABCC10"
"TMEM171"
"XIRP1"
"TSPYL6"
"INTS1"
"ZNF474"
"BIRC6"
"AMZ1"
"COL9A1"
"C2orf16"
"NRXN2"
"CCL15"
"ZNF582"
"LRRN2"
"VLDLR"
"OR5AS1"
"RAB33A"
"ADRM1"
"ODZ4"
"ZFHX4"
"KIAA1543"
"BCHE"
"KRT78"
"SEMA4C"
"FRAS1"
"OR4N4"
"NOL11"
"NEUROD1"
"C1orf148"
"SVEP1"
"DOCK8"
"PRAMEF6"
"CHTOP"
"CDX4"
"LRRC37A"
"Q9NWP0"
"ZNF354A"
"KIAA1239"
"EXOC3"
"FRMPD3"
"C8orf48"
"TMTC2"
"FAM189A2"
"NOTCH4"
"KIAA1409"
"CEP68"
"TTC30B"
"PCNT"
"FAM59A"
"CYB561"
"TTN"
"ACCN3"
"BRAF"
"SAMD7"
"CNTNAP4"
"AC114546.1"
"DNAH10"
"HEATR5B"
"TTLL6"
"P2RY10"
"RRP1B"
"ZNF238"
"MYH8"
"RBM10"
"MAP7D2"
"SPEG"
"MIPOL1"
"XIRP2"
"CRAT"
"DSCAM"
"FAT3"
"SHARPIN"
"NUAK2"
"HHIPL1"
"ZNF705D"
"SNAPC4"
"MAX"
"ENSG00000188219"
"LRP1"
"GABRG3"
"ZNF860"
"GFRAL"
"JMJD1C"
"PROM1"
"COL21A1"
"ARID1A"
"KIF18B"
"IQSEC1"
"C11orf84"
"KRTAP10-1"
"RHBG"
"LHPP"
"TMEM106C"
"ENSG00000188447"
"SLMO2"
"C2orf81"
"ITCH"
"SMARCA4"
"FEM1B"
"ATE1"
"GCNT6"
"OR4D9"
"OR5AC2"
"CCDC142"
"PIK3CA"
"GNL1"
"ARHGAP23"
"INCENP"
"KIR3DL2"
"SPAG5"
"DFNB31"
"ZNF345"
"PCSK7"
