"POLQ"
"CCDC136"
"XPC"
"SPECC1"
"MFI2"
"ADAMTS6"
"DNAJC6"
"PLEKHM2"
"GDF3"
"FGF5"
"HMGXB4"
"ZYX"
"RPL21P44"
"PAQR7"
"KIAA1407"
"C8orf34"
"C16orf71"
"B4GALT1"
"ZNF43"
"BAT2D1"
"GRIN2B"
"PLA2G7"
"ERVW-1"
"APC"
"CENPI"
"ANO5"
"RP1-139D8.6"
"RPGRIP1"
"IQUB"
"VPS8"
"HIP1R"
"LNX1"
"THBS3"
"HMCN1"
"RBFOX2"
"TTN"
"GPR112"
"FAM123B"
"LXN"
"FUS"
"LAMA2"
"CLK2"
"TTI1"
"RAB6C"
"TIE1"
"ADCK1"
"KCNC3"
"MAP4K1"
"GABRG3"
"GABRE"
"ARHGEF15"
"CCDC108"
"KCNN2"
"LRRC32"
"C7orf62"
"ZNF75A"
"NTM"
"CDK5RAP2"
"NEK11"
"ALPK1"
"AFAP1L1"
"BIN1"
"SEC24D"
"GP2"
"DCAF4L2"
"CYP2A6"
"ANKRD36"
"UMODL1"
"C5orf44"
"ME3"
"RALGAPA1"
"CADM1"
"TCEB3B"
"SLC35B4"
"KIF26B"
"IPO8"
"SLC18A3"
"GALNT8"
"ACVR2A"
"ZNF561"
"FAM129A"
"BEND2"
"TNNC2"
"TPR"
"MAP2"
"TEX14"
"C19orf40"
"C2orf67"
"CUBN"
"JAM3"
"PGAP1"
"ZNF417"
"ETS2"
"C5orf48"
"GNG10"
"GPR156"
"ATM"
"SH3GL2"
"KRAS"
"CGN"
"DKK2"
"ZNF571"
"RAI1"
"ZNF682"
"MPP2"
"EIF5B"
"LRRC4C"
"POM121"
"GRINA"
"SOX5"
"CHD6"
"ANKRD18A"
"CCDC24"
"DIAPH2"
"CSMD3"
"AKAP6"
"OR8K3"
"SYNE1"
"AKAP3"
"EPHA5"
"ANK1"
"TESK1"
"MEGF6"
"TMEM107"
"ENPP5"
"ZNF793"
"ELMO3"
"SORCS1"
"ERAP1"
"MCAM"
"SLC4A4"
"MYC"
"ARCN1"
"SPICE1"
"TP53"
"MPP5"
"MYH8"
"FRYL"
"DSCAML1"
"BAI3"
"SLITRK3"
"PSMC1"
"GALNT1"
"CCL28"
"GRIA2"
"ANAPC1"
"OR13D1"
"CACNB2"
"NUP88"
"SOX6"
"RAPGEF1"
"SDK1"
"TBCEL"
"LDB2"
"DDX60"
"TRPS1"
"BAHD1"
"C21orf91"
"ZNF629"
"BTBD7"
"ZNF624"
"TCEB3CL"
"ADH5"
"ADAM9"
"QPCT"
"PSG5"
"ADCY4"
"MEIS2"
"RANBP6"
"RXRG"
"SLC16A6"
"CAMTA1"
"FGF2"
"KIAA0930"
"PLA2G3"
"JPH2"
"EML1"
"ZW10"
"PCDHB11"
"AMPD3"
"CDH26"
"SHANK1"
"PCDH15"
"DCTN1"
"CPVL"
"PHF17"
"NFXL1"
"NLRX1"
"SDAD1"
"COL5A2"
"BMP3"
"GARNL3"
"KCNH4"
"AFP"
"DBT"
"GAS2L2"
"PCLO"
"G3BP1"
"MCMBP"
"FBXW7"
"TG"
"MPHOSPH9"
"SPANXC"
